time	V(n001)	I(C1)	I(L1)	I(R1)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.999999717180685e-10	2.000000e-12	1.000000e-04	1.001000e-20	-1.000000e-04
1.023999971071302e-09	2.049152e-12	1.024000e-04	1.025614e-20	-1.024000e-04
1.071999969777769e-09	2.149760e-12	1.072000e-04	1.076052e-20	-1.072000e-04
1.167999967190704e-09	2.364800e-12	1.168000e-04	1.184509e-20	-1.168000e-04
1.359999962016573e-09	2.850176e-12	1.360000e-04	1.435070e-20	-1.360000e-04
1.743999951668311e-09	4.042112e-12	1.744000e-04	2.097326e-20	-1.744000e-04
2.511999930971787e-09	7.310720e-12	2.512000e-04	4.278704e-20	-2.512000e-04
4.047999889578740e-09	1.738688e-11	4.048000e-04	1.376762e-19	-4.048000e-04
7.119999806792646e-09	5.169497e-11	7.119999e-04	6.683963e-19	-7.119999e-04
1.326399964122046e-08	1.769343e-10	1.326400e-03	4.180767e-18	-1.326400e-03
2.555199931007608e-08	6.539052e-10	2.555200e-03	2.970654e-17	-2.555200e-03
5.012799864778732e-08	2.513817e-09	5.012800e-03	2.243407e-16	-5.012800e-03
9.927999732320981e-08	9.857517e-09	9.927998e-03	1.744567e-15	-9.927998e-03
1.819597361555351e-07	3.311034e-08	1.819597e-02	1.062611e-14	-1.819597e-02
2.739707812743651e-07	7.506097e-08	2.739707e-02	3.550871e-14	-2.739707e-02
3.649226754753576e-07	1.331695e-07	3.649225e-02	8.285640e-14	-3.649225e-02
4.805939774599867e-07	2.309715e-07	4.805937e-02	1.881586e-13	-4.805937e-02
6.304428941280479e-07	3.974591e-07	6.304425e-02	4.235835e-13	-6.304425e-02
8.308722396235730e-07	6.903493e-07	8.308715e-02	9.686568e-13	-8.308715e-02
1.000000000000000e-06	1.000000e-06	9.999990e-02	1.683371e-12	-9.999990e-02
1.338255520752854e-06	1.676510e-06	9.999983e-02	3.946736e-12	-9.999983e-02
1.693633888721970e-06	2.387266e-06	9.999976e-02	7.557185e-12	-9.999976e-02
2.339610088504056e-06	3.679214e-06	9.999963e-02	1.735419e-11	-9.999963e-02
3.631562488068229e-06	6.263106e-06	9.999938e-02	4.946672e-11	-9.999938e-02
6.215467287196575e-06	1.143087e-05	9.999885e-02	1.637656e-10	-9.999885e-02
