time	V(n001)	I(C1)	I(L1)	I(R1)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.999999717180685e-10	7.500000e-12	1.500000e-04	7.507499e-21	-1.500000e-04
1.023999971119302e-09	7.684319e-12	1.536000e-04	7.692108e-21	-1.536000e-04
1.071999969921769e-09	8.061599e-12	1.608000e-04	8.070387e-21	-1.608000e-04
1.167999967526704e-09	8.867999e-12	1.752000e-04	8.883814e-21	-1.752000e-04
1.359999962736573e-09	1.068816e-11	2.040000e-04	1.076303e-20	-2.040000e-04
1.743999953156311e-09	1.515792e-11	2.616000e-04	1.572994e-20	-2.616000e-04
2.511999933995788e-09	2.741520e-11	3.768000e-04	3.209027e-20	-3.768000e-04
4.047999895674740e-09	6.520080e-11	6.072000e-04	1.032571e-19	-6.072000e-04
7.119999819032646e-09	1.938562e-10	1.068000e-03	5.012972e-19	-1.068000e-03
1.326399966574846e-08	6.635035e-10	1.989600e-03	3.135576e-18	-1.989600e-03
2.555199935918008e-08	2.452144e-09	3.832800e-03	2.227990e-17	-3.832800e-03
5.012799874604332e-08	9.426812e-09	7.519199e-03	1.682555e-16	-7.519199e-03
9.927999751976982e-08	3.696569e-08	1.489200e-02	1.308425e-15	-1.489200e-02
1.596607432114973e-07	9.559705e-08	2.394910e-02	5.310602e-15	-2.394910e-02
2.175083590064137e-07	1.774158e-07	3.262624e-02	1.320725e-14	-3.262624e-02
2.851208425906756e-07	3.048557e-07	4.276809e-02	2.951117e-14	-4.276809e-02
3.751866171151267e-07	5.278721e-07	5.627794e-02	6.701153e-14	-5.627794e-02
4.929863758860796e-07	9.113864e-07	7.394786e-02	1.517841e-13	-7.394786e-02
6.495241776653585e-07	1.582058e-06	9.742847e-02	3.469439e-13	-9.742847e-02
8.542704507665169e-07	2.736667e-06	1.281403e-01	7.890666e-13	-1.281403e-01
1.000000000000000e-06	3.749997e-06	1.499996e-01	1.261717e-12	-1.499996e-01
1.291459098466966e-06	5.935934e-06	1.499994e-01	2.673246e-12	-1.499994e-01
1.645730896009305e-06	8.592960e-06	1.499991e-01	5.246837e-12	-1.499991e-01
2.252842072681980e-06	1.314626e-05	1.499987e-01	1.184590e-11	-1.499987e-01
3.467064426027328e-06	2.225282e-05	1.499978e-01	3.333709e-11	-1.499978e-01
5.895509132718026e-06	4.046577e-05	1.499960e-01	1.094914e-10	-1.499960e-01
1.075239854609942e-05	7.689102e-05	1.499923e-01	3.944859e-10	-1.499923e-01
2.000000000000000e-05	1.462429e-04	1.499854e-01	1.426213e-09	-1.499854e-01
2.097137788267628e-05	1.535275e-04	1.499846e-01	1.575346e-09	-1.499846e-01
2.291413364802884e-05	1.680966e-04	1.499832e-01	1.887764e-09	-1.499832e-01
2.679964517873396e-05	1.972344e-04	1.499803e-01	2.597513e-09	-1.499803e-01
3.457066824014419e-05	2.555082e-04	1.499745e-01	4.356650e-09	-1.499745e-01
5.011271436296465e-05	3.720492e-04	1.499628e-01	9.233413e-09	-1.499628e-01
8.119680660860558e-05	6.051039e-04	1.499395e-01	2.442037e-08	-1.499395e-01
1.433649910998874e-04	1.071105e-03	1.498928e-01	7.652379e-08	-1.498929e-01
2.433649910998874e-04	1.820381e-03	1.498177e-01	2.210981e-07	-1.498180e-01
3.433649910998874e-04	2.569282e-03	1.497426e-01	4.405812e-07	-1.497431e-01
4.433649910998874e-04	3.317807e-03	1.496675e-01	7.349356e-07	-1.496682e-01
5.433649910998874e-04	4.065957e-03	1.495923e-01	1.104124e-06	-1.495934e-01
6.433649910998875e-04	4.813730e-03	1.495171e-01	1.548108e-06	-1.495186e-01
7.433649910998875e-04	5.561127e-03	1.494418e-01	2.066851e-06	-1.494439e-01
8.433649910998876e-04	6.308148e-03	1.493665e-01	2.660314e-06	-1.493692e-01
9.433649910998876e-04	7.054793e-03	1.492912e-01	3.328461e-06	-1.492945e-01
1.043364991099888e-03	7.801060e-03	1.492158e-01	4.071253e-06	-1.492199e-01
1.143364991099888e-03	8.546950e-03	1.491404e-01	4.888653e-06	-1.491453e-01
1.243364991099888e-03	9.292464e-03	1.490650e-01	5.780623e-06	-1.490708e-01
1.343364991099888e-03	1.003760e-02	1.489895e-01	6.747126e-06	-1.489962e-01
1.443364991099888e-03	1.078236e-02	1.489140e-01	7.788123e-06	-1.489218e-01
1.543364991099888e-03	1.152674e-02	1.488384e-01	8.903578e-06	-1.488473e-01
1.643364991099888e-03	1.227074e-02	1.487628e-01	1.009345e-05	-1.487729e-01
1.743364991099888e-03	1.301437e-02	1.486872e-01	1.135771e-05	-1.486986e-01
1.843364991099888e-03	1.375762e-02	1.486115e-01	1.269630e-05	-1.486242e-01
1.943364991099888e-03	1.450048e-02	1.485358e-01	1.410921e-05	-1.485500e-01
2.043364991099888e-03	1.524297e-02	1.484601e-01	1.559638e-05	-1.484757e-01
2.143364991099888e-03	1.598508e-02	1.483843e-01	1.715778e-05	-1.484015e-01
2.243364991099888e-03	1.672682e-02	1.483085e-01	1.879337e-05	-1.483273e-01
2.343364991099888e-03	1.746817e-02	1.482327e-01	2.050312e-05	-1.482532e-01
2.443364991099887e-03	1.820914e-02	1.481568e-01	2.228698e-05	-1.481791e-01
2.543364991099887e-03	1.894974e-02	1.480809e-01	2.414493e-05	-1.481050e-01
2.643364991099887e-03	1.968995e-02	1.480049e-01	2.607691e-05	-1.480310e-01
2.743364991099887e-03	2.042979e-02	1.479289e-01	2.808289e-05	-1.479570e-01
2.843364991099887e-03	2.116924e-02	1.478529e-01	3.016284e-05	-1.478831e-01
2.943364991099887e-03	2.190831e-02	1.477769e-01	3.231672e-05	-1.478092e-01
3.043364991099886e-03	2.264701e-02	1.477008e-01	3.454448e-05	-1.477353e-01
3.143364991099886e-03	2.338532e-02	1.476246e-01	3.684609e-05	-1.476615e-01
3.243364991099886e-03	2.412326e-02	1.475485e-01	3.922152e-05	-1.475877e-01
3.343364991099886e-03	2.486081e-02	1.474722e-01	4.167072e-05	-1.475139e-01
3.443364991099886e-03	2.559798e-02	1.473960e-01	4.419365e-05	-1.474402e-01
3.543364991099886e-03	2.633477e-02	1.473197e-01	4.679028e-05	-1.473665e-01
3.643364991099885e-03	2.707118e-02	1.472434e-01	4.946057e-05	-1.472929e-01
3.743364991099885e-03	2.780720e-02	1.471671e-01	5.220449e-05	-1.472193e-01
3.843364991099885e-03	2.854285e-02	1.470907e-01	5.502198e-05	-1.471457e-01
3.943364991099885e-03	2.927811e-02	1.470143e-01	5.791303e-05	-1.470722e-01
4.043364991099885e-03	3.001299e-02	1.469378e-01	6.087758e-05	-1.469987e-01
4.143364991099885e-03	3.074749e-02	1.468613e-01	6.391559e-05	-1.469253e-01
4.243364991099886e-03	3.148160e-02	1.467848e-01	6.702705e-05	-1.468518e-01
4.343364991099886e-03	3.221533e-02	1.467083e-01	7.021189e-05	-1.467785e-01
4.443364991099886e-03	3.294868e-02	1.466317e-01	7.347007e-05	-1.467051e-01
4.543364991099886e-03	3.368165e-02	1.465550e-01	7.680159e-05	-1.466318e-01
4.643364991099887e-03	3.441424e-02	1.464784e-01	8.020637e-05	-1.465586e-01
4.743364991099887e-03	3.514643e-02	1.464017e-01	8.368440e-05	-1.464854e-01
4.843364991099887e-03	3.587825e-02	1.463249e-01	8.723562e-05	-1.464122e-01
4.943364991099887e-03	3.660968e-02	1.462482e-01	9.086001e-05	-1.463390e-01
5.043364991099888e-03	3.734073e-02	1.461714e-01	9.455752e-05	-1.462659e-01
5.143364991099888e-03	3.807140e-02	1.460945e-01	9.832812e-05	-1.461929e-01
5.243364991099888e-03	3.880168e-02	1.460177e-01	1.021718e-04	-1.461198e-01
5.343364991099889e-03	3.953157e-02	1.459408e-01	1.060884e-04	-1.460468e-01
5.443364991099889e-03	4.026109e-02	1.458638e-01	1.100780e-04	-1.459739e-01
5.543364991099889e-03	4.099021e-02	1.457868e-01	1.141406e-04	-1.459010e-01
5.643364991099889e-03	4.171895e-02	1.457098e-01	1.182760e-04	-1.458281e-01
5.743364991099890e-03	4.244731e-02	1.456328e-01	1.224843e-04	-1.457553e-01
5.843364991099890e-03	4.317528e-02	1.455557e-01	1.267655e-04	-1.456825e-01
5.943364991099890e-03	4.390287e-02	1.454786e-01	1.311193e-04	-1.456097e-01
6.043364991099890e-03	4.463007e-02	1.454014e-01	1.355460e-04	-1.455370e-01
6.143364991099891e-03	4.535688e-02	1.453243e-01	1.400453e-04	-1.454643e-01
6.243364991099891e-03	4.608331e-02	1.452471e-01	1.446173e-04	-1.453917e-01
6.343364991099891e-03	4.680935e-02	1.451698e-01	1.492619e-04	-1.453191e-01
6.443364991099891e-03	4.753501e-02	1.450925e-01	1.539791e-04	-1.452465e-01
6.543364991099892e-03	4.826028e-02	1.450152e-01	1.587689e-04	-1.451740e-01
6.643364991099892e-03	4.898516e-02	1.449379e-01	1.636311e-04	-1.451015e-01
6.743364991099892e-03	4.970966e-02	1.448605e-01	1.685659e-04	-1.450290e-01
6.843364991099892e-03	5.043377e-02	1.447830e-01	1.735730e-04	-1.449566e-01
6.943364991099893e-03	5.115749e-02	1.447056e-01	1.786526e-04	-1.448843e-01
7.043364991099893e-03	5.188082e-02	1.446281e-01	1.838045e-04	-1.448119e-01
7.143364991099893e-03	5.260377e-02	1.445506e-01	1.890287e-04	-1.447396e-01
7.243364991099894e-03	5.332633e-02	1.444730e-01	1.943252e-04	-1.446674e-01
7.343364991099894e-03	5.404850e-02	1.443955e-01	1.996939e-04	-1.445951e-01
7.443364991099894e-03	5.477028e-02	1.443178e-01	2.051348e-04	-1.445230e-01
7.543364991099894e-03	5.549167e-02	1.442402e-01	2.106479e-04	-1.444508e-01
7.643364991099895e-03	5.621268e-02	1.441625e-01	2.162331e-04	-1.443787e-01
7.743364991099895e-03	5.693330e-02	1.440848e-01	2.218904e-04	-1.443067e-01
7.843364991099895e-03	5.765353e-02	1.440070e-01	2.276197e-04	-1.442346e-01
7.943364991099894e-03	5.837337e-02	1.439292e-01	2.334210e-04	-1.441627e-01
8.043364991099894e-03	5.909282e-02	1.438514e-01	2.392943e-04	-1.440907e-01
8.143364991099893e-03	5.981189e-02	1.437736e-01	2.452395e-04	-1.440188e-01
8.243364991099893e-03	6.053056e-02	1.436957e-01	2.512566e-04	-1.439469e-01
8.343364991099892e-03	6.124884e-02	1.436178e-01	2.573455e-04	-1.438751e-01
8.443364991099891e-03	6.196674e-02	1.435398e-01	2.635063e-04	-1.438033e-01
8.543364991099891e-03	6.268424e-02	1.434618e-01	2.697388e-04	-1.437316e-01
8.643364991099890e-03	6.340136e-02	1.433838e-01	2.760431e-04	-1.436599e-01
8.743364991099890e-03	6.411808e-02	1.433058e-01	2.824190e-04	-1.435882e-01
8.843364991099889e-03	6.483441e-02	1.432277e-01	2.888666e-04	-1.435166e-01
8.943364991099888e-03	6.555036e-02	1.431496e-01	2.953858e-04	-1.434450e-01
9.043364991099888e-03	6.626591e-02	1.430714e-01	3.019766e-04	-1.433734e-01
9.143364991099887e-03	6.698107e-02	1.429933e-01	3.086389e-04	-1.433019e-01
9.243364991099887e-03	6.769584e-02	1.429150e-01	3.153727e-04	-1.432304e-01
9.343364991099886e-03	6.841022e-02	1.428368e-01	3.221780e-04	-1.431590e-01
9.443364991099885e-03	6.912421e-02	1.427585e-01	3.290547e-04	-1.430876e-01
9.543364991099885e-03	6.983781e-02	1.426802e-01	3.360027e-04	-1.430162e-01
9.643364991099884e-03	7.055101e-02	1.426019e-01	3.430221e-04	-1.429449e-01
9.743364991099884e-03	7.126383e-02	1.425235e-01	3.501129e-04	-1.428736e-01
9.843364991099883e-03	7.197624e-02	1.424451e-01	3.572748e-04	-1.428024e-01
9.943364991099882e-03	7.268827e-02	1.423667e-01	3.645080e-04	-1.427312e-01
1.004336499109988e-02	7.339991e-02	1.422882e-01	3.718124e-04	-1.426600e-01
1.014336499109988e-02	7.411116e-02	1.422097e-01	3.791879e-04	-1.425889e-01
1.024336499109988e-02	7.482201e-02	1.421312e-01	3.866345e-04	-1.425178e-01
1.034336499109988e-02	7.553247e-02	1.420526e-01	3.941522e-04	-1.424468e-01
1.044336499109988e-02	7.624254e-02	1.419740e-01	4.017409e-04	-1.423758e-01
1.054336499109988e-02	7.695221e-02	1.418954e-01	4.094006e-04	-1.423048e-01
1.064336499109988e-02	7.766149e-02	1.418167e-01	4.171313e-04	-1.422338e-01
1.074336499109988e-02	7.837038e-02	1.417380e-01	4.249328e-04	-1.421630e-01
1.084336499109988e-02	7.907887e-02	1.416593e-01	4.328052e-04	-1.420921e-01
1.094336499109988e-02	7.978697e-02	1.415806e-01	4.407485e-04	-1.420213e-01
1.104336499109988e-02	8.049467e-02	1.415018e-01	4.487625e-04	-1.419505e-01
1.114336499109988e-02	8.120199e-02	1.414230e-01	4.568473e-04	-1.418798e-01
1.124336499109987e-02	8.190890e-02	1.413441e-01	4.650028e-04	-1.418091e-01
1.134336499109987e-02	8.261543e-02	1.412652e-01	4.732290e-04	-1.417385e-01
1.144336499109987e-02	8.332156e-02	1.411863e-01	4.815258e-04	-1.416678e-01
1.154336499109987e-02	8.402729e-02	1.411074e-01	4.898932e-04	-1.415973e-01
1.164336499109987e-02	8.473263e-02	1.410284e-01	4.983311e-04	-1.415267e-01
1.174336499109987e-02	8.543757e-02	1.409494e-01	5.068396e-04	-1.414562e-01
1.184336499109987e-02	8.614212e-02	1.408704e-01	5.154185e-04	-1.413858e-01
1.194336499109987e-02	8.684628e-02	1.407913e-01	5.240679e-04	-1.413154e-01
1.204336499109987e-02	8.755004e-02	1.407122e-01	5.327876e-04	-1.412450e-01
1.214336499109987e-02	8.825340e-02	1.406331e-01	5.415778e-04	-1.411747e-01
1.224336499109987e-02	8.895636e-02	1.405539e-01	5.504382e-04	-1.411044e-01
1.234336499109987e-02	8.965894e-02	1.404747e-01	5.593689e-04	-1.410341e-01
1.244336499109987e-02	9.036111e-02	1.403955e-01	5.683699e-04	-1.409639e-01
1.254336499109987e-02	9.106290e-02	1.403163e-01	5.774410e-04	-1.408937e-01
