time	V(n001)	I(C1)	I(L1)	I(R1)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.999999717180685e-10	2.000000e-11	1.000000e-05	1.001000e-20	-1.000000e-05
1.023999971359302e-09	2.049152e-11	1.024000e-05	1.025614e-20	-1.024000e-05
1.071999970641770e-09	2.149760e-11	1.072000e-05	1.076052e-20	-1.072000e-05
1.167999969206704e-09	2.364800e-11	1.168000e-05	1.184509e-20	-1.168000e-05
1.359999966336573e-09	2.850176e-11	1.360000e-05	1.435070e-20	-1.360000e-05
1.743999960596312e-09	4.042112e-11	1.744000e-05	2.097325e-20	-1.744000e-05
2.511999949115789e-09	7.310719e-11	2.512000e-05	4.278704e-20	-2.512000e-05
4.047999926154742e-09	1.738688e-10	4.048000e-05	1.376762e-19	-4.048000e-05
7.119999880232650e-09	5.169497e-10	7.120000e-05	6.683963e-19	-7.120000e-05
1.326399978838846e-08	1.769342e-09	1.326400e-04	4.180767e-18	-1.326400e-04
2.555199960470010e-08	6.539052e-09	2.555199e-04	2.970654e-17	-2.555199e-04
5.012799923732335e-08	2.513816e-08	5.012797e-04	2.243406e-16	-5.012797e-04
8.710351896547405e-08	7.588019e-08	8.710345e-04	1.158168e-15	-8.710345e-04
1.312143667827824e-07	1.721820e-07	1.312142e-03	3.893774e-15	-1.312142e-03
1.721283377538450e-07	2.962913e-07	1.721280e-03	8.685611e-15	-1.721280e-03
2.286269587156367e-07	5.227121e-07	2.286264e-03	2.025386e-14	-2.286264e-03
2.982035715936398e-07	8.892619e-07	2.982027e-03	4.481414e-14	-2.982027e-03
3.948735999602100e-07	1.559257e-06	3.948721e-03	1.039891e-13	-3.948721e-03
5.174205388554046e-07	2.677241e-06	5.174179e-03	2.337821e-13	-5.174179e-03
6.833386767160021e-07	4.669506e-06	6.833340e-03	5.385227e-13	-6.833340e-03
8.971156272179964e-07	8.048126e-06	8.971076e-03	1.218209e-12	-8.971076e-03
1.000000000000000e-06	9.999942e-06	9.999900e-03	1.682426e-12	-9.999900e-03
1.205768745564007e-06	1.411527e-05	9.999859e-03	2.922967e-12	-9.999859e-03
1.564954639270139e-06	2.129886e-05	9.999787e-03	6.103034e-12	-9.999787e-03
2.098929052109929e-06	3.197806e-05	9.999680e-03	1.321517e-11	-9.999680e-03
3.166877877789509e-06	5.333613e-05	9.999467e-03	3.599298e-11	-9.999467e-03
5.302775529148668e-06	9.605089e-05	9.999040e-03	1.157618e-10	-9.999040e-03
9.574570831866984e-06	1.814749e-04	9.998185e-03	4.121453e-10	-9.998186e-03
1.811816143730362e-05	3.523011e-04	9.996476e-03	1.552236e-09	-9.996477e-03
2.000000000000000e-05	3.899239e-04	9.996098e-03	1.901423e-09	-9.996100e-03
2.071840304106165e-05	4.042862e-04	9.995955e-03	2.046644e-09	-9.995957e-03
2.215520912318494e-05	4.330103e-04	9.995667e-03	2.347402e-09	-9.995670e-03
2.502882128743152e-05	4.904559e-04	9.995093e-03	3.010823e-09	-9.995095e-03
3.077604561592468e-05	6.053374e-04	9.993942e-03	4.585266e-09	-9.993946e-03
4.227049427291102e-05	8.350607e-04	9.991640e-03	8.724411e-09	-9.991650e-03
6.525939158688368e-05	1.294348e-03	9.987036e-03	2.096260e-08	-9.987056e-03
1.112371862148290e-04	2.212288e-03	9.977816e-03	6.126946e-08	-9.977877e-03
2.031927754707197e-04	4.045621e-03	9.959338e-03	2.051319e-07	-9.959544e-03
3.031927754707197e-04	6.035474e-03	9.939188e-03	4.571592e-07	-9.939645e-03
4.031927754707197e-04	8.021290e-03	9.918978e-03	8.085783e-07	-9.919787e-03
5.031927754707197e-04	1.000306e-02	9.898710e-03	1.259187e-06	-9.899969e-03
6.031927754707198e-04	1.198077e-02	9.878384e-03	1.808783e-06	-9.880193e-03
7.031927754707198e-04	1.395441e-02	9.857999e-03	2.457162e-06	-9.860456e-03
8.031927754707199e-04	1.592396e-02	9.837557e-03	3.204121e-06	-9.840760e-03
9.031927754707199e-04	1.788942e-02	9.817056e-03	4.049456e-06	-9.821106e-03
1.003192775470720e-03	1.985078e-02	9.796499e-03	4.992960e-06	-9.801492e-03
1.103192775470720e-03	2.180802e-02	9.775885e-03	6.034430e-06	-9.781919e-03
1.203192775470720e-03	2.376113e-02	9.755215e-03	7.173658e-06	-9.762389e-03
1.303192775470720e-03	2.571010e-02	9.734489e-03	8.410439e-06	-9.742899e-03
1.403192775470720e-03	2.765492e-02	9.713707e-03	9.744564e-06	-9.723451e-03
1.503192775470720e-03	2.959557e-02	9.692868e-03	1.117583e-05	-9.704044e-03
1.603192775470720e-03	3.153206e-02	9.671975e-03	1.270402e-05	-9.684679e-03
1.703192775470720e-03	3.346436e-02	9.651028e-03	1.432893e-05	-9.665356e-03
1.803192775470720e-03	3.539246e-02	9.630025e-03	1.605035e-05	-9.646076e-03
1.903192775470720e-03	3.731636e-02	9.608968e-03	1.786807e-05	-9.626837e-03
2.003192775470720e-03	3.923605e-02	9.587858e-03	1.978187e-05	-9.607639e-03
2.103192775470720e-03	4.115150e-02	9.566694e-03	2.179156e-05	-9.588485e-03
2.203192775470720e-03	4.306272e-02	9.545476e-03	2.389692e-05	-9.569373e-03
2.303192775470720e-03	4.496969e-02	9.524206e-03	2.609772e-05	-9.550303e-03
2.403192775470719e-03	4.687240e-02	9.502882e-03	2.839378e-05	-9.531276e-03
2.503192775470719e-03	4.877083e-02	9.481506e-03	3.078486e-05	-9.512291e-03
2.603192775470719e-03	5.066499e-02	9.460079e-03	3.327075e-05	-9.493350e-03
2.703192775470719e-03	5.255486e-02	9.438600e-03	3.585124e-05	-9.474452e-03
2.803192775470719e-03	5.444043e-02	9.417069e-03	3.852612e-05	-9.455596e-03
2.903192775470719e-03	5.632168e-02	9.395488e-03	4.129517e-05	-9.436783e-03
3.003192775470718e-03	5.819862e-02	9.373856e-03	4.415818e-05	-9.418014e-03
3.103192775470718e-03	6.007122e-02	9.352173e-03	4.711493e-05	-9.399287e-03
3.203192775470718e-03	6.193948e-02	9.330440e-03	5.016519e-05	-9.380605e-03
3.303192775470718e-03	6.380339e-02	9.308658e-03	5.330876e-05	-9.361967e-03
3.403192775470718e-03	6.566294e-02	9.286826e-03	5.654541e-05	-9.343371e-03
3.503192775470718e-03	6.751812e-02	9.264944e-03	5.987494e-05	-9.324819e-03
3.603192775470717e-03	6.936891e-02	9.243013e-03	6.329711e-05	-9.306311e-03
3.703192775470717e-03	7.121532e-02	9.221035e-03	6.681171e-05	-9.287847e-03
3.803192775470717e-03	7.305732e-02	9.199008e-03	7.041852e-05	-9.269427e-03
3.903192775470717e-03	7.489492e-02	9.176933e-03	7.411733e-05	-9.251051e-03
4.003192775470717e-03	7.672809e-02	9.154812e-03	7.790790e-05	-9.232719e-03
4.103192775470717e-03	7.855684e-02	9.132641e-03	8.179002e-05	-9.214432e-03
4.203192775470718e-03	8.038114e-02	9.110425e-03	8.576347e-05	-9.196188e-03
4.303192775470718e-03	8.220100e-02	9.088162e-03	8.982801e-05	-9.177990e-03
4.403192775470718e-03	8.401641e-02	9.065853e-03	9.398344e-05	-9.159836e-03
4.503192775470719e-03	8.582734e-02	9.043497e-03	9.822953e-05	-9.141726e-03
4.603192775470719e-03	8.763380e-02	9.021096e-03	1.025661e-04	-9.123662e-03
4.703192775470719e-03	8.943577e-02	8.998649e-03	1.069928e-04	-9.105642e-03
4.803192775470719e-03	9.123325e-02	8.976158e-03	1.115095e-04	-9.087668e-03
4.903192775470720e-03	9.302623e-02	8.953622e-03	1.161160e-04	-9.069738e-03
5.003192775470720e-03	9.481470e-02	8.931041e-03	1.208120e-04	-9.051853e-03
5.103192775470720e-03	9.659864e-02	8.908416e-03	1.255973e-04	-9.034013e-03
5.203192775470720e-03	9.837806e-02	8.885748e-03	1.304717e-04	-9.016220e-03
5.303192775470721e-03	1.001529e-01	8.863036e-03	1.354350e-04	-8.998470e-03
5.403192775470721e-03	1.019233e-01	8.840281e-03	1.404869e-04	-8.980767e-03
5.503192775470721e-03	1.036890e-01	8.817483e-03	1.456272e-04	-8.963110e-03
5.603192775470721e-03	1.054503e-01	8.794642e-03	1.508557e-04	-8.945498e-03
5.703192775470722e-03	1.072069e-01	8.771759e-03	1.561721e-04	-8.927931e-03
5.803192775470722e-03	1.089590e-01	8.748834e-03	1.615762e-04	-8.910410e-03
5.903192775470722e-03	1.107064e-01	8.725868e-03	1.670679e-04	-8.892936e-03
6.003192775470722e-03	1.124493e-01	8.702860e-03	1.726468e-04	-8.875507e-03
6.103192775470723e-03	1.141876e-01	8.679812e-03	1.783127e-04	-8.858125e-03
6.203192775470723e-03	1.159212e-01	8.656722e-03	1.840654e-04	-8.840788e-03
6.303192775470723e-03	1.176503e-01	8.633593e-03	1.899047e-04	-8.823497e-03
6.403192775470723e-03	1.193747e-01	8.610423e-03	1.958303e-04	-8.806254e-03
6.503192775470724e-03	1.210944e-01	8.587214e-03	2.018420e-04	-8.789056e-03
6.603192775470724e-03	1.228095e-01	8.563965e-03	2.079396e-04	-8.771905e-03
6.703192775470724e-03	1.245200e-01	8.540677e-03	2.141228e-04	-8.754800e-03
6.803192775470725e-03	1.262258e-01	8.517350e-03	2.203914e-04	-8.737742e-03
6.903192775470725e-03	1.279269e-01	8.493985e-03	2.267453e-04	-8.720730e-03
7.003192775470725e-03	1.296234e-01	8.470582e-03	2.331840e-04	-8.703766e-03
7.103192775470725e-03	1.313152e-01	8.447140e-03	2.397074e-04	-8.686848e-03
7.203192775470726e-03	1.330023e-01	8.423662e-03	2.463154e-04	-8.669978e-03
7.303192775470726e-03	1.346846e-01	8.400146e-03	2.530075e-04	-8.653154e-03
7.403192775470726e-03	1.363623e-01	8.376594e-03	2.597837e-04	-8.636377e-03
7.503192775470726e-03	1.380353e-01	8.353004e-03	2.666436e-04	-8.619647e-03
7.603192775470727e-03	1.397035e-01	8.329378e-03	2.735871e-04	-8.602965e-03
7.703192775470727e-03	1.413670e-01	8.305716e-03	2.806138e-04	-8.586330e-03
7.803192775470727e-03	1.430258e-01	8.282019e-03	2.877236e-04	-8.569743e-03
7.903192775470727e-03	1.446798e-01	8.258286e-03	2.949162e-04	-8.553202e-03
8.003192775470727e-03	1.463291e-01	8.234518e-03	3.021914e-04	-8.536709e-03
8.103192775470726e-03	1.479736e-01	8.210715e-03	3.095490e-04	-8.520264e-03
8.203192775470726e-03	1.496134e-01	8.186878e-03	3.169887e-04	-8.503866e-03
8.303192775470725e-03	1.512484e-01	8.163006e-03	3.245102e-04	-8.487516e-03
8.403192775470724e-03	1.528786e-01	8.139101e-03	3.321134e-04	-8.471214e-03
8.503192775470724e-03	1.545040e-01	8.115162e-03	3.397979e-04	-8.454960e-03
8.603192775470723e-03	1.561246e-01	8.091190e-03	3.475636e-04	-8.438754e-03
8.703192775470723e-03	1.577405e-01	8.067185e-03	3.554102e-04	-8.422595e-03
8.803192775470722e-03	1.593515e-01	8.043148e-03	3.633375e-04	-8.406484e-03
8.903192775470721e-03	1.609577e-01	8.019078e-03	3.713452e-04	-8.390423e-03
9.003192775470721e-03	1.625591e-01	7.994976e-03	3.794331e-04	-8.374409e-03
9.103192775470720e-03	1.641557e-01	7.970842e-03	3.876010e-04	-8.358443e-03
9.203192775470720e-03	1.657475e-01	7.946677e-03	3.958485e-04	-8.342525e-03
9.303192775470719e-03	1.673344e-01	7.922481e-03	4.041755e-04	-8.326656e-03
9.403192775470718e-03	1.689164e-01	7.898253e-03	4.125818e-04	-8.310836e-03
9.503192775470718e-03	1.704937e-01	7.873996e-03	4.210670e-04	-8.295063e-03
9.603192775470717e-03	1.720660e-01	7.849708e-03	4.296310e-04	-8.279339e-03
9.703192775470717e-03	1.736336e-01	7.825391e-03	4.382735e-04	-8.263664e-03
9.803192775470716e-03	1.751962e-01	7.801044e-03	4.469942e-04	-8.248038e-03
9.903192775470715e-03	1.767540e-01	7.776667e-03	4.557929e-04	-8.232460e-03
1.000319277547071e-02	1.783069e-01	7.752262e-03	4.646694e-04	-8.216931e-03
1.010319277547071e-02	1.798549e-01	7.727828e-03	4.736235e-04	-8.201451e-03
1.020319277547071e-02	1.813980e-01	7.703365e-03	4.826548e-04	-8.186020e-03
1.030319277547071e-02	1.829362e-01	7.678875e-03	4.917631e-04	-8.170638e-03
1.040319277547071e-02	1.844696e-01	7.654356e-03	5.009482e-04	-8.155305e-03
1.050319277547071e-02	1.859980e-01	7.629810e-03	5.102099e-04	-8.140020e-03
1.060319277547071e-02	1.875215e-01	7.605237e-03	5.195478e-04	-8.124785e-03
1.070319277547071e-02	1.890400e-01	7.580637e-03	5.289618e-04	-8.109599e-03
1.080319277547071e-02	1.905537e-01	7.556011e-03	5.384517e-04	-8.094463e-03
1.090319277547071e-02	1.920625e-01	7.531358e-03	5.480170e-04	-8.079375e-03
1.100319277547071e-02	1.935663e-01	7.506680e-03	5.576577e-04	-8.064337e-03
1.110319277547071e-02	1.950651e-01	7.481975e-03	5.673735e-04	-8.049348e-03
1.120319277547071e-02	1.965590e-01	7.457246e-03	5.771641e-04	-8.034410e-03
1.130319277547071e-02	1.980480e-01	7.432491e-03	5.870292e-04	-8.019520e-03
1.140319277547071e-02	1.995320e-01	7.407711e-03	5.969687e-04	-8.004679e-03
1.150319277547071e-02	2.010111e-01	7.382907e-03	6.069822e-04	-7.989889e-03
1.160319277547071e-02	2.024852e-01	7.358078e-03	6.170696e-04	-7.975148e-03
1.170319277547070e-02	2.039543e-01	7.333226e-03	6.272306e-04	-7.960456e-03
1.180319277547070e-02	2.054185e-01	7.308350e-03	6.374648e-04	-7.945815e-03
1.190319277547070e-02	2.068777e-01	7.283451e-03	6.477722e-04	-7.931223e-03
1.200319277547070e-02	2.083319e-01	7.258529e-03	6.581524e-04	-7.916681e-03
1.210319277547070e-02	2.097811e-01	7.233584e-03	6.686052e-04	-7.902189e-03
1.220319277547070e-02	2.112253e-01	7.208616e-03	6.791303e-04	-7.887747e-03
1.230319277547070e-02	2.126645e-01	7.183627e-03	6.897275e-04	-7.873354e-03
1.240319277547070e-02	2.140988e-01	7.158616e-03	7.003966e-04	-7.859012e-03
1.250319277547070e-02	2.155280e-01	7.133583e-03	7.111372e-04	-7.844720e-03
1.260319277547070e-02	2.169522e-01	7.108529e-03	7.219492e-04	-7.830478e-03
1.270319277547070e-02	2.183714e-01	7.083454e-03	7.328322e-04	-7.816286e-03
1.280319277547070e-02	2.197856e-01	7.058358e-03	7.437861e-04	-7.802145e-03
1.290319277547070e-02	2.211947e-01	7.033242e-03	7.548106e-04	-7.788053e-03
1.300319277547070e-02	2.225989e-01	7.008106e-03	7.659054e-04	-7.774012e-03
1.310319277547070e-02	2.239980e-01	6.982950e-03	7.770703e-04	-7.760020e-03
1.320319277547070e-02	2.253920e-01	6.957775e-03	7.883050e-04	-7.746079e-03
1.330319277547069e-02	2.267811e-01	6.932580e-03	7.996093e-04	-7.732189e-03
1.340319277547069e-02	2.281651e-01	6.907367e-03	8.109829e-04	-7.718349e-03
1.350319277547069e-02	2.295440e-01	6.882134e-03	8.224256e-04	-7.704560e-03
1.360319277547069e-02	2.309179e-01	6.856884e-03	8.339371e-04	-7.690821e-03
1.370319277547069e-02	2.322868e-01	6.831615e-03	8.455171e-04	-7.677132e-03
1.380319277547069e-02	2.336506e-01	6.806329e-03	8.571655e-04	-7.663494e-03
1.390319277547069e-02	2.350093e-01	6.781025e-03	8.688820e-04	-7.649907e-03
1.400319277547069e-02	2.363630e-01	6.755704e-03	8.806663e-04	-7.636370e-03
1.410319277547069e-02	2.377116e-01	6.730366e-03	8.925181e-04	-7.622884e-03
1.420319277547069e-02	2.390551e-01	6.705012e-03	9.044372e-04	-7.609449e-03
1.430319277547069e-02	2.403936e-01	6.679641e-03	9.164234e-04	-7.596064e-03
1.440319277547069e-02	2.417270e-01	6.654254e-03	9.284763e-04	-7.582730e-03
1.450319277547069e-02	2.430553e-01	6.628851e-03	9.405959e-04	-7.569447e-03
1.460319277547069e-02	2.443785e-01	6.603433e-03	9.527816e-04	-7.556215e-03
1.470319277547069e-02	2.456966e-01	6.578000e-03	9.650335e-04	-7.543033e-03
1.480319277547069e-02	2.470097e-01	6.552552e-03	9.773511e-04	-7.529903e-03
1.490319277547069e-02	2.483177e-01	6.527089e-03	9.897342e-04	-7.516823e-03
1.500319277547068e-02	2.496205e-01	6.501612e-03	1.002183e-03	-7.503795e-03
1.510319277547068e-02	2.509183e-01	6.476121e-03	1.014696e-03	-7.490817e-03
1.520319277547068e-02	2.522110e-01	6.450616e-03	1.027274e-03	-7.477890e-03
1.530319277547068e-02	2.534986e-01	6.425098e-03	1.039917e-03	-7.465014e-03
1.540319277547068e-02	2.547810e-01	6.399566e-03	1.052624e-03	-7.452190e-03
1.550319277547068e-02	2.560584e-01	6.374022e-03	1.065395e-03	-7.439416e-03
1.560319277547068e-02	2.573306e-01	6.348464e-03	1.078230e-03	-7.426694e-03
1.570319277547068e-02	2.585978e-01	6.322895e-03	1.091128e-03	-7.414022e-03
1.580319277547068e-02	2.598598e-01	6.297313e-03	1.104089e-03	-7.401402e-03
1.590319277547068e-02	2.611167e-01	6.271720e-03	1.117113e-03	-7.388833e-03
1.600319277547068e-02	2.623685e-01	6.246115e-03	1.130200e-03	-7.376315e-03
1.610319277547068e-02	2.636151e-01	6.220499e-03	1.143350e-03	-7.363849e-03
1.620319277547068e-02	2.648567e-01	6.194871e-03	1.156562e-03	-7.351433e-03
1.630319277547068e-02	2.660931e-01	6.169234e-03	1.169835e-03	-7.339069e-03
1.640319277547068e-02	2.673244e-01	6.143586e-03	1.183171e-03	-7.326757e-03
1.650319277547068e-02	2.685505e-01	6.117927e-03	1.196568e-03	-7.314495e-03
1.660319277547068e-02	2.697715e-01	6.092259e-03	1.210026e-03	-7.302285e-03
1.670319277547068e-02	2.709874e-01	6.066581e-03	1.223544e-03	-7.290126e-03
1.680319277547068e-02	2.721982e-01	6.040894e-03	1.237124e-03	-7.278018e-03
1.690319277547067e-02	2.734038e-01	6.015198e-03	1.250764e-03	-7.265962e-03
1.700319277547067e-02	2.746042e-01	5.989493e-03	1.264464e-03	-7.253957e-03
1.710319277547067e-02	2.757996e-01	5.963780e-03	1.278224e-03	-7.242004e-03
1.720319277547067e-02	2.769898e-01	5.938059e-03	1.292044e-03	-7.230103e-03
1.730319277547067e-02	2.781748e-01	5.912329e-03	1.305923e-03	-7.218252e-03
1.740319277547067e-02	2.793547e-01	5.886592e-03	1.319861e-03	-7.206453e-03
1.750319277547067e-02	2.805294e-01	5.860847e-03	1.333858e-03	-7.194706e-03
1.760319277547067e-02	2.816990e-01	5.835096e-03	1.347914e-03	-7.183010e-03
1.770319277547067e-02	2.828635e-01	5.809337e-03	1.362028e-03	-7.171365e-03
1.780319277547067e-02	2.840227e-01	5.783573e-03	1.376200e-03	-7.159772e-03
1.790319277547067e-02	2.851769e-01	5.757801e-03	1.390430e-03	-7.148231e-03
1.800319277547067e-02	2.863259e-01	5.732024e-03	1.404717e-03	-7.136741e-03
1.810319277547067e-02	2.874697e-01	5.706241e-03	1.419062e-03	-7.125303e-03
1.820319277547067e-02	2.886084e-01	5.680452e-03	1.433464e-03	-7.113916e-03
1.830319277547067e-02	2.897419e-01	5.654659e-03	1.447923e-03	-7.102581e-03
1.840319277547067e-02	2.908702e-01	5.628860e-03	1.462438e-03	-7.091298e-03
1.850319277547067e-02	2.919934e-01	5.603056e-03	1.477009e-03	-7.080066e-03
1.860319277547066e-02	2.931114e-01	5.577249e-03	1.491637e-03	-7.068885e-03
1.870319277547066e-02	2.942243e-01	5.551436e-03	1.506320e-03	-7.057757e-03
1.880319277547066e-02	2.953320e-01	5.525621e-03	1.521059e-03	-7.046680e-03
1.890319277547066e-02	2.964346e-01	5.499801e-03	1.535853e-03	-7.035654e-03
1.900319277547066e-02	2.975320e-01	5.473978e-03	1.550702e-03	-7.024680e-03
1.910319277547066e-02	2.986242e-01	5.448152e-03	1.565606e-03	-7.013758e-03
1.920319277547066e-02	2.997112e-01	5.422323e-03	1.580564e-03	-7.002888e-03
1.930319277547066e-02	3.007931e-01	5.396492e-03	1.595577e-03	-6.992069e-03
1.940319277547066e-02	3.018698e-01	5.370658e-03	1.610643e-03	-6.981302e-03
1.950319277547066e-02	3.029414e-01	5.344823e-03	1.625764e-03	-6.970586e-03
1.960319277547066e-02	3.040077e-01	5.318985e-03	1.640937e-03	-6.959923e-03
1.970319277547066e-02	3.050689e-01	5.293146e-03	1.656164e-03	-6.949311e-03
1.980319277547066e-02	3.061250e-01	5.267306e-03	1.671444e-03	-6.938750e-03
1.990319277547066e-02	3.071759e-01	5.241465e-03	1.686776e-03	-6.928241e-03
2.000319277547066e-02	3.082216e-01	5.215623e-03	1.702161e-03	-6.917784e-03
2.010319277547066e-02	3.092621e-01	5.189781e-03	1.717598e-03	-6.907379e-03
2.020319277547065e-02	3.102975e-01	5.163938e-03	1.733087e-03	-6.897025e-03
2.030319277547065e-02	3.113277e-01	5.138095e-03	1.748628e-03	-6.886723e-03
2.040319277547065e-02	3.123527e-01	5.112253e-03	1.764220e-03	-6.876473e-03
2.050319277547065e-02	3.133726e-01	5.086411e-03	1.779863e-03	-6.866274e-03
2.060319277547065e-02	3.143873e-01	5.060570e-03	1.795557e-03	-6.856127e-03
2.070319277547065e-02	3.153968e-01	5.034731e-03	1.811301e-03	-6.846032e-03
2.080319277547065e-02	3.164012e-01	5.008892e-03	1.827096e-03	-6.835988e-03
