time	V(n001)	I(C1)	I(L1)	I(R1)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.999999717180685e-10	2.500000e-12	5.000000e-05	1.251250e-20	-5.000000e-05
1.023999971119302e-09	2.561440e-12	5.120000e-05	1.282018e-20	-5.120000e-05
1.071999969921769e-09	2.687200e-12	5.360000e-05	1.345064e-20	-5.360000e-05
1.167999967526704e-09	2.956000e-12	5.840000e-05	1.480636e-20	-5.840000e-05
1.359999962736573e-09	3.562720e-12	6.800000e-05	1.793837e-20	-6.800000e-05
1.743999953156312e-09	5.052640e-12	8.719999e-05	2.621657e-20	-8.719999e-05
2.511999933995788e-09	9.138399e-12	1.256000e-04	5.348379e-20	-1.256000e-04
4.047999895674742e-09	2.173360e-11	2.024000e-04	1.720952e-19	-2.024000e-04
7.119999819032650e-09	6.461871e-11	3.560000e-04	8.354954e-19	-3.560000e-04
1.326399966574847e-08	2.211678e-10	6.632000e-04	5.225959e-18	-6.632000e-04
2.555199935918010e-08	8.173815e-10	1.277600e-03	3.713318e-17	-1.277600e-03
5.012799874604336e-08	3.142271e-09	2.506400e-03	2.804258e-16	-2.506400e-03
9.927999751976987e-08	1.232190e-08	4.963999e-03	2.180709e-15	-4.963999e-03
1.732310163781139e-07	3.751247e-08	8.661547e-03	1.139409e-14	-8.661547e-03
2.614527049273086e-07	8.544811e-08	1.307263e-02	3.851381e-14	-1.307263e-02
3.432806147181102e-07	1.473031e-07	1.716402e-02	8.612798e-14	-1.716402e-02
4.558036689121768e-07	2.596973e-07	2.279016e-02	2.006209e-13	-2.279016e-02
5.946357460240978e-07	4.419904e-07	2.973174e-02	4.441637e-13	-2.973174e-02
7.872490379768913e-07	7.747015e-07	3.936237e-02	1.030043e-12	-3.936237e-02
1.000000000000000e-06	1.249999e-06	4.999987e-02	2.106938e-12	-4.999987e-02
1.343111045966181e-06	2.107774e-06	4.999979e-02	4.987165e-12	-4.999979e-02
1.721292189856253e-06	3.053222e-06	4.999970e-02	9.866647e-12	-4.999970e-02
2.336342928960951e-06	4.590837e-06	4.999954e-02	2.162037e-11	-4.999954e-02
3.566444407170348e-06	7.666053e-06	4.999923e-02	5.931343e-11	-4.999923e-02
6.026647363589141e-06	1.381643e-05	4.999862e-02	1.914416e-10	-4.999862e-02
1.094705327642673e-05	2.611695e-05	4.999739e-02	6.826628e-10	-4.999739e-02
2.000000000000000e-05	4.874762e-05	4.999512e-02	2.377025e-09	-4.999512e-02
2.098408118256752e-05	5.120757e-05	4.999488e-02	2.628987e-09	-4.999488e-02
2.295224354770255e-05	5.612745e-05	4.999438e-02	3.157119e-09	-4.999439e-02
2.688856827797262e-05	6.596706e-05	4.999340e-02	4.358629e-09	-4.999340e-02
3.476121773851276e-05	8.564570e-05	4.999143e-02	7.342614e-09	-4.999144e-02
5.050651665959305e-05	1.250006e-04	4.998748e-02	1.563434e-08	-4.998750e-02
8.199711450175361e-05	2.037012e-04	4.997959e-02	4.151188e-08	-4.997963e-02
1.449783101860747e-04	3.610650e-04	4.996376e-02	1.304360e-07	-4.996390e-02
2.449783101860747e-04	6.108208e-04	4.993854e-02	3.734073e-07	-4.993892e-02
3.449783101860747e-04	8.604501e-04	4.991321e-02	7.412248e-07	-4.991395e-02
4.449783101860747e-04	1.109953e-03	4.988777e-02	1.233825e-06	-4.988901e-02
5.449783101860747e-04	1.359328e-03	4.986222e-02	1.851144e-06	-4.986407e-02
6.449783101860748e-04	1.608575e-03	4.983655e-02	2.593119e-06	-4.983914e-02
7.449783101860748e-04	1.857693e-03	4.981077e-02	3.459684e-06	-4.981423e-02
8.449783101860749e-04	2.106682e-03	4.978488e-02	4.450776e-06	-4.978933e-02
9.449783101860749e-04	2.355541e-03	4.975888e-02	5.566329e-06	-4.976445e-02
1.044978310186075e-03	2.604270e-03	4.973277e-02	6.806279e-06	-4.973957e-02
1.144978310186075e-03	2.852869e-03	4.970654e-02	8.170560e-06	-4.971471e-02
1.244978310186075e-03	3.101336e-03	4.968021e-02	9.659107e-06	-4.968987e-02
1.344978310186075e-03	3.349670e-03	4.965376e-02	1.127185e-05	-4.966503e-02
1.444978310186075e-03	3.597873e-03	4.962720e-02	1.300873e-05	-4.964021e-02
1.544978310186075e-03	3.845942e-03	4.960054e-02	1.486968e-05	-4.961541e-02
1.644978310186075e-03	4.093878e-03	4.957376e-02	1.685463e-05	-4.959061e-02
1.744978310186075e-03	4.341680e-03	4.954687e-02	1.896351e-05	-4.956583e-02
1.844978310186075e-03	4.589346e-03	4.951987e-02	2.119625e-05	-4.954106e-02
1.944978310186075e-03	4.836878e-03	4.949276e-02	2.355280e-05	-4.951631e-02
2.044978310186075e-03	5.084274e-03	4.946554e-02	2.603307e-05	-4.949157e-02
2.144978310186075e-03	5.331533e-03	4.943821e-02	2.863701e-05	-4.946685e-02
2.244978310186075e-03	5.578656e-03	4.941077e-02	3.136454e-05	-4.944213e-02
2.344978310186075e-03	5.825641e-03	4.938322e-02	3.421560e-05	-4.941744e-02
2.444978310186075e-03	6.072488e-03	4.935556e-02	3.719012e-05	-4.939275e-02
2.544978310186075e-03	6.319196e-03	4.932779e-02	4.028802e-05	-4.936808e-02
2.644978310186074e-03	6.565765e-03	4.929991e-02	4.350924e-05	-4.934342e-02
2.744978310186074e-03	6.812195e-03	4.927193e-02	4.685370e-05	-4.931878e-02
2.844978310186074e-03	7.058484e-03	4.924383e-02	5.032135e-05	-4.929415e-02
2.944978310186074e-03	7.304633e-03	4.921563e-02	5.391210e-05	-4.926954e-02
3.044978310186074e-03	7.550640e-03	4.918731e-02	5.762589e-05	-4.924494e-02
3.144978310186074e-03	7.796505e-03	4.915889e-02	6.146265e-05	-4.922035e-02
3.244978310186073e-03	8.042228e-03	4.913035e-02	6.542230e-05	-4.919578e-02
3.344978310186073e-03	8.287809e-03	4.910171e-02	6.950478e-05	-4.917122e-02
3.444978310186073e-03	8.533246e-03	4.907297e-02	7.371001e-05	-4.914667e-02
3.544978310186073e-03	8.778539e-03	4.904411e-02	7.803791e-05	-4.912215e-02
3.644978310186073e-03	9.023687e-03	4.901514e-02	8.248843e-05	-4.909763e-02
3.744978310186073e-03	9.268690e-03	4.898607e-02	8.706148e-05	-4.907313e-02
3.844978310186072e-03	9.513547e-03	4.895689e-02	9.175699e-05	-4.904864e-02
3.944978310186072e-03	9.758258e-03	4.892760e-02	9.657490e-05	-4.902418e-02
4.044978310186072e-03	1.000282e-02	4.889820e-02	1.015151e-04	-4.899972e-02
4.144978310186073e-03	1.024724e-02	4.886870e-02	1.065776e-04	-4.897528e-02
