time	V(n001)	I(C1)	I(L1)	I(R1)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.999999717180685e-10	8.333333e-13	1.666667e-05	2.780555e-22	-1.666667e-05
1.023999971065969e-09	8.538133e-13	1.706667e-05	2.848929e-22	-1.706667e-05
1.071999969761770e-09	8.957333e-13	1.786667e-05	2.989032e-22	-1.786667e-05
1.167999967153371e-09	9.853332e-13	1.946667e-05	3.290301e-22	-1.946667e-05
1.359999961936573e-09	1.187573e-12	2.266667e-05	3.986306e-22	-2.266667e-05
1.743999951502978e-09	1.684213e-12	2.906667e-05	5.825904e-22	-2.906667e-05
2.511999930635788e-09	3.046133e-12	4.186666e-05	1.188529e-21	-4.186666e-05
4.047999888901408e-09	7.244533e-12	6.746667e-05	3.824339e-21	-6.746667e-05
7.119999805432648e-09	2.153957e-11	1.186667e-04	1.856656e-20	-1.186667e-04
1.326399963849513e-08	7.372261e-11	2.210667e-04	1.161324e-19	-2.210667e-04
2.555199930462009e-08	2.724605e-10	4.258667e-04	8.251817e-19	-4.258667e-04
5.012799863687001e-08	1.047424e-09	8.354666e-04	6.231685e-18	-8.354666e-04
9.927999730136984e-08	4.107299e-09	1.654666e-03	4.846019e-17	-1.654666e-03
1.975839946303695e-07	1.626685e-08	3.293066e-03	3.822742e-16	-3.293066e-03
3.256708928560321e-07	4.419271e-08	5.427847e-03	1.672963e-15	-5.427847e-03
4.439175962477859e-07	8.210991e-08	7.398624e-03	4.162120e-15	-7.398624e-03
5.830569155276760e-07	1.416484e-07	9.717611e-03	9.351071e-15	-9.717611e-03
7.660982020500007e-07	2.445447e-07	1.276830e-02	2.113265e-14	-1.276830e-02
1.000000000000000e-06	4.166668e-07	1.666665e-02	4.690914e-14	-1.666665e-02
1.321432400752152e-06	6.845269e-07	1.666664e-02	1.059024e-13	-1.666664e-02
1.717010819588714e-06	1.014175e-06	1.666663e-02	2.178975e-13	-1.666663e-02
2.294417881768807e-06	1.495346e-06	1.666662e-02	4.594003e-13	-1.666662e-02
3.449232006128994e-06	2.457688e-06	1.666659e-02	1.220237e-12	-1.666659e-02
5.758860254849367e-06	4.382365e-06	1.666652e-02	3.853234e-12	-1.666652e-02
1.037811675229012e-05	8.231696e-06	1.666639e-02	1.356450e-11	-1.666639e-02
1.961662974717161e-05	1.593027e-05	1.666613e-02	5.076795e-11	-1.666613e-02
2.000000000000000e-05	1.624974e-05	1.666613e-02	5.282409e-11	-1.666613e-02
2.076674050565679e-05	1.688867e-05	1.666610e-02	5.714050e-11	-1.666610e-02
2.230022151697036e-05	1.816652e-05	1.666606e-02	6.609990e-11	-1.666606e-02
2.536718353959750e-05	2.072222e-05	1.666598e-02	8.597829e-11	-1.666598e-02
3.150110758485179e-05	2.583359e-05	1.666581e-02	1.335733e-10	-1.666581e-02
4.376895567536036e-05	3.605616e-05	1.666546e-02	2.601156e-10	-1.666546e-02
6.830465185637750e-05	5.650068e-05	1.666478e-02	6.386067e-10	-1.666478e-02
1.173760442184118e-04	9.738722e-05	1.666342e-02	1.897189e-09	-1.666342e-02
2.155188289424804e-04	1.791502e-04	1.666069e-02	6.420548e-09	-1.666070e-02
3.155188289424803e-04	2.624467e-04	1.665790e-02	1.378050e-08	-1.665792e-02
4.155188289424803e-04	3.457293e-04	1.665512e-02	2.391676e-08	-1.665514e-02
5.155188289424804e-04	4.289979e-04	1.665233e-02	3.682888e-08	-1.665237e-02
6.155188289424804e-04	5.122526e-04	1.664954e-02	5.251639e-08	-1.664959e-02
7.155188289424805e-04	5.954933e-04	1.664675e-02	7.097881e-08	-1.664682e-02
8.155188289424805e-04	6.787200e-04	1.664395e-02	9.221570e-08	-1.664404e-02
9.155188289424806e-04	7.619328e-04	1.664115e-02	1.162266e-07	-1.664127e-02
1.015518828942481e-03	8.451315e-04	1.663835e-02	1.430110e-07	-1.663850e-02
1.115518828942481e-03	9.283163e-04	1.663555e-02	1.725684e-07	-1.663572e-02
1.215518828942481e-03	1.011487e-03	1.663275e-02	2.048985e-07	-1.663295e-02
1.315518828942481e-03	1.094644e-03	1.662994e-02	2.400006e-07	-1.663018e-02
1.415518828942481e-03	1.177786e-03	1.662713e-02	2.778745e-07	-1.662741e-02
1.515518828942481e-03	1.260915e-03	1.662432e-02	3.185195e-07	-1.662464e-02
1.615518828942481e-03	1.344030e-03	1.662150e-02	3.619352e-07	-1.662187e-02
1.715518828942481e-03	1.427130e-03	1.661869e-02	4.081212e-07	-1.661910e-02
