time	V(n001)	I(C1)	I(L1)	I(R1)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.999999717180685e-10	1.666667e-12	3.333333e-05	1.112222e-21	-3.333333e-05
1.023999971065969e-09	1.707627e-12	3.413333e-05	1.139571e-21	-3.413333e-05
1.071999969761770e-09	1.791467e-12	3.573333e-05	1.195613e-21	-3.573333e-05
1.167999967153371e-09	1.970666e-12	3.893333e-05	1.316121e-21	-3.893333e-05
1.359999961936573e-09	2.375147e-12	4.533333e-05	1.594522e-21	-4.533333e-05
1.743999951502978e-09	3.368426e-12	5.813333e-05	2.330362e-21	-5.813333e-05
2.511999930635788e-09	6.092266e-12	8.373333e-05	4.754115e-21	-8.373333e-05
4.047999888901408e-09	1.448907e-11	1.349333e-04	1.529735e-20	-1.349333e-04
7.119999805432648e-09	4.307914e-11	2.373333e-04	7.426626e-20	-2.373333e-04
1.326399963849513e-08	1.474452e-10	4.421333e-04	4.645297e-19	-4.421333e-04
2.555199930462009e-08	5.449211e-10	8.517333e-04	3.300727e-18	-8.517333e-04
5.012799863687001e-08	2.094847e-09	1.670933e-03	2.492674e-17	-1.670933e-03
9.927999730136984e-08	8.214598e-09	3.309333e-03	1.938408e-16	-3.309333e-03
1.975839946303695e-07	3.253369e-08	6.586132e-03	1.529097e-15	-6.586132e-03
2.881551089485768e-07	6.919529e-08	9.605168e-03	4.600357e-15	-9.605168e-03
3.922418792500107e-07	1.282122e-07	1.307472e-02	1.144957e-14	-1.307472e-02
5.095322360231037e-07	2.163534e-07	1.698440e-02	2.492103e-14	-1.698440e-02
6.755145708696956e-07	3.802673e-07	2.251714e-02	5.793064e-14	-2.251714e-02
8.834837348210411e-07	6.504534e-07	2.944944e-02	1.293835e-13	-2.944944e-02
1.000000000000000e-06	8.333337e-07	3.333331e-02	1.870121e-13	-3.333331e-02
1.233032530357918e-06	1.221721e-06	3.333329e-02	3.466439e-13	-3.333329e-02
1.588376495724439e-06	1.813960e-06	3.333327e-02	7.062145e-13	-3.333327e-02
2.145957209645074e-06	2.743259e-06	3.333324e-02	1.553221e-12	-3.333324e-02
3.261118637486344e-06	4.601854e-06	3.333318e-02	4.283551e-12	-3.333318e-02
5.491441493168884e-06	8.319035e-06	3.333306e-02	1.388947e-11	-3.333306e-02
9.952087204533964e-06	1.575336e-05	3.333281e-02	4.968228e-11	-3.333281e-02
1.887337862726412e-05	3.062183e-05	3.333231e-02	1.875911e-10	-3.333231e-02
2.000000000000000e-05	3.249947e-05	3.333225e-02	2.112957e-10	-3.333225e-02
2.063420340032728e-05	3.355644e-05	3.333221e-02	2.254835e-10	-3.333221e-02
2.190261020098184e-05	3.567038e-05	3.333214e-02	2.547527e-10	-3.333214e-02
2.443942380229095e-05	3.989824e-05	3.333200e-02	3.186539e-10	-3.333201e-02
2.951305100490918e-05	4.835392e-05	3.333172e-02	4.679068e-10	-3.333172e-02
3.966030541014564e-05	6.526505e-05	3.333116e-02	8.522136e-10	-3.333116e-02
5.995481422061856e-05	9.908644e-05	3.333003e-02	1.964024e-09	-3.333003e-02
1.005438318415644e-04	1.667258e-04	3.332777e-02	5.560377e-09	-3.332778e-02
1.817218670834560e-04	3.019908e-04	3.332325e-02	1.824354e-08	-3.332327e-02
2.817218670834560e-04	4.685931e-04	3.331767e-02	4.392967e-08	-3.331771e-02
3.817218670834560e-04	6.351675e-04	3.331208e-02	8.072168e-08	-3.331216e-02
4.817218670834560e-04	8.017138e-04	3.330648e-02	1.286177e-07	-3.330661e-02
5.817218670834559e-04	9.682322e-04	3.330087e-02	1.876159e-07	-3.330106e-02
6.817218670834560e-04	1.134722e-03	3.329525e-02	2.577144e-07	-3.329551e-02
7.817218670834560e-04	1.301185e-03	3.328962e-02	3.389113e-07	-3.328996e-02
8.817218670834561e-04	1.467619e-03	3.328398e-02	4.312047e-07	-3.328441e-02
9.817218670834561e-04	1.634025e-03	3.327833e-02	5.345928e-07	-3.327887e-02
1.081721867083456e-03	1.800402e-03	3.327267e-02	6.490736e-07	-3.327332e-02
1.181721867083456e-03	1.966751e-03	3.326700e-02	7.746453e-07	-3.326777e-02
1.281721867083456e-03	2.133072e-03	3.326132e-02	9.113061e-07	-3.326223e-02
1.381721867083456e-03	2.299364e-03	3.325563e-02	1.059054e-06	-3.325669e-02
1.481721867083456e-03	2.465628e-03	3.324993e-02	1.217887e-06	-3.325114e-02
1.581721867083456e-03	2.631864e-03	3.324421e-02	1.387803e-06	-3.324560e-02
1.681721867083456e-03	2.798070e-03	3.323850e-02	1.568801e-06	-3.324006e-02
1.781721867083456e-03	2.964249e-03	3.323276e-02	1.760878e-06	-3.323453e-02
