time	V(n001)	I(C1)	I(L1)	I(R1)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.999999717180685e-10	9.999999e-12	5.000000e-06	2.002000e-21	-5.000000e-06
1.023999971359302e-09	1.024576e-11	5.120000e-06	2.051229e-21	-5.120000e-06
1.071999970641769e-09	1.074880e-11	5.360000e-06	2.152103e-21	-5.360000e-06
1.167999969206704e-09	1.182400e-11	5.840000e-06	2.369017e-21	-5.840000e-06
1.359999966336573e-09	1.425088e-11	6.799999e-06	2.870140e-21	-6.799999e-06
1.743999960596311e-09	2.021056e-11	8.720000e-06	4.194651e-21	-8.720000e-06
2.511999949115788e-09	3.655360e-11	1.256000e-05	8.557407e-21	-1.256000e-05
4.047999926154740e-09	8.693440e-11	2.024000e-05	2.753524e-20	-2.024000e-05
7.119999880232647e-09	2.584749e-10	3.560000e-05	1.336793e-19	-3.560000e-05
1.326399978838846e-08	8.846712e-10	6.631999e-05	8.361535e-19	-6.631999e-05
2.555199960470008e-08	3.269526e-09	1.277600e-04	5.941307e-18	-1.277600e-04
5.012799923732333e-08	1.256908e-08	2.506399e-04	4.486812e-17	-2.506399e-04
9.927999850256981e-08	4.928756e-08	4.963995e-04	3.489132e-16	-4.963995e-04
1.515712799774420e-07	1.148741e-07	7.578552e-04	1.207349e-15	-7.578552e-04
2.064329591870651e-07	2.130775e-07	1.032163e-03	3.006567e-15	-1.032163e-03
2.693053699605649e-07	3.626313e-07	1.346523e-03	6.626216e-15	-1.346523e-03
3.557266847967456e-07	6.327109e-07	1.778627e-03	1.522815e-14	-1.778627e-03
4.662791720850210e-07	1.087083e-06	2.331385e-03	3.424099e-14	-2.331385e-03
6.155283842202626e-07	1.894373e-06	3.077623e-03	7.873915e-14	-3.077623e-03
8.084079171026916e-07	3.267604e-06	4.042007e-03	1.783034e-13	-4.042007e-03
1.000000000000000e-06	4.999971e-06	4.999950e-03	3.367039e-13	-4.999950e-03
1.363445625749770e-06	8.634378e-06	4.999914e-03	8.322391e-13	-4.999914e-03
1.724342951310631e-06	1.224328e-05	4.999877e-03	1.585709e-12	-4.999877e-03
2.381670736987821e-06	1.881635e-05	4.999812e-03	3.627346e-12	-4.999812e-03
3.696326308342202e-06	3.196224e-05	4.999680e-03	1.030298e-11	-4.999680e-03
6.325637451050962e-06	5.825298e-05	4.999417e-03	3.402337e-11	-4.999417e-03
1.158425973646848e-05	1.108303e-04	4.998892e-03	1.229379e-10	-4.998892e-03
2.000000000000000e-05	1.949620e-04	4.998050e-03	3.802847e-10	-4.998050e-03
2.105172445708351e-05	2.054749e-04	4.997945e-03	4.235053e-10	-4.997945e-03
2.315517337125052e-05	2.265003e-04	4.997734e-03	5.143691e-10	-4.997735e-03
2.736207119958453e-05	2.685484e-04	4.997314e-03	7.226311e-10	-4.997314e-03
3.577586685625257e-05	3.526341e-04	4.996473e-03	1.245281e-09	-4.996473e-03
5.260345816958864e-05	5.207630e-04	4.994790e-03	2.714998e-09	-4.994792e-03
8.625864079626078e-05	8.568508e-04	4.991424e-03	7.351383e-09	-4.991432e-03
1.535690060496051e-04	1.528347e-03	4.984693e-03	2.340624e-08	-4.984716e-03
2.535690060496051e-04	2.524286e-03	4.974693e-03	6.393256e-08	-4.974757e-03
3.535690060496051e-04	3.518224e-03	4.964693e-03	1.243577e-07	-4.964818e-03
4.535690060496051e-04	4.510163e-03	4.954694e-03	2.046415e-07	-4.954898e-03
5.535690060496051e-04	5.500102e-03	4.944694e-03	3.047442e-07	-4.944999e-03
6.535690060496052e-04	6.488041e-03	4.934695e-03	4.246256e-07	-4.935120e-03
7.535690060496052e-04	7.473980e-03	4.924696e-03	5.642458e-07	-4.925260e-03
8.535690060496052e-04	8.457919e-03	4.914697e-03	7.235648e-07	-4.915421e-03
9.535690060496053e-04	9.439859e-03	4.904699e-03	9.025425e-07	-4.905601e-03
1.053569006049605e-03	1.041980e-02	4.894701e-03	1.101139e-06	-4.895802e-03
1.153569006049605e-03	1.139774e-02	4.884703e-03	1.319314e-06	-4.886023e-03
1.253569006049605e-03	1.237368e-02	4.874706e-03	1.557029e-06	-4.876263e-03
1.353569006049605e-03	1.334762e-02	4.864709e-03	1.814242e-06	-4.866524e-03
1.453569006049606e-03	1.431956e-02	4.854714e-03	2.090913e-06	-4.856804e-03
1.553569006049606e-03	1.528951e-02	4.844718e-03	2.387004e-06	-4.847105e-03
1.653569006049606e-03	1.625745e-02	4.834723e-03	2.702473e-06	-4.837425e-03
1.753569006049606e-03	1.722340e-02	4.824729e-03	3.037282e-06	-4.827766e-03
