time	V(n001)	I(C1)	I(L1)	I(R1)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.999999717180685e-10	3.333333e-12	3.333333e-05	5.561111e-21	-3.333333e-05
1.023999971092636e-09	3.415253e-12	3.413333e-05	5.697857e-21	-3.413333e-05
1.071999969841770e-09	3.582933e-12	3.573333e-05	5.978064e-21	-3.573333e-05
1.167999967340038e-09	3.941333e-12	3.893333e-05	6.580603e-21	-3.893333e-05
1.359999962336573e-09	4.750293e-12	4.533333e-05	7.972612e-21	-4.533333e-05
1.743999952329645e-09	6.736853e-12	5.813333e-05	1.165181e-20	-5.813333e-05
2.511999932315788e-09	1.218453e-11	8.373333e-05	2.377057e-20	-8.373333e-05
4.047999892288074e-09	2.897813e-11	1.349333e-04	7.648677e-20	-1.349333e-04
7.119999812232647e-09	8.615829e-11	2.373333e-04	3.713313e-19	-2.373333e-04
1.326399965212179e-08	2.948904e-10	4.421333e-04	2.322649e-18	-4.421333e-04
2.555199933190009e-08	1.089842e-09	8.517333e-04	1.650363e-17	-8.517333e-04
5.012799869145667e-08	4.189694e-09	1.670933e-03	1.246337e-16	-1.670933e-03
9.927999741056983e-08	1.642920e-08	3.309333e-03	9.692038e-16	-3.309333e-03
1.666385190400353e-07	4.628232e-08	5.554616e-03	4.489383e-15	-5.554616e-03
2.476419644377579e-07	1.022125e-07	8.254728e-03	1.451330e-14	-8.254728e-03
3.210954385296503e-07	1.718387e-07	1.070318e-02	3.128844e-14	-1.070318e-02
4.287746479646264e-07	3.064144e-07	1.429248e-02	7.420359e-14	-1.429248e-02
5.573964446484351e-07	5.178193e-07	1.857986e-02	1.625493e-13	-1.857986e-02
7.403574232855732e-07	9.135495e-07	2.467855e-02	3.807871e-13	-2.467855e-02
9.681283010572662e-07	1.562121e-06	3.227089e-02	8.506928e-13	-3.227089e-02
1.000000000000000e-06	1.666666e-06	3.333328e-02	9.364488e-13	-3.333328e-02
1.280650902280653e-06	2.602168e-06	3.333325e-02	1.934827e-12	-3.333325e-02
1.564075735637761e-06	3.546914e-06	3.333322e-02	3.387164e-12	-3.333322e-02
2.130925402351977e-06	5.436405e-06	3.333315e-02	7.630660e-12	-3.333315e-02
3.264624735780410e-06	9.215374e-06	3.333303e-02	2.147293e-11	-3.333303e-02
5.532023402637276e-06	1.677327e-05	3.333277e-02	7.057846e-11	-3.333277e-02
1.006682073635101e-05	3.188890e-05	3.333227e-02	2.544727e-10	-3.333227e-02
1.913641540377847e-05	6.211946e-05	3.333126e-02	9.649874e-10	-3.333126e-02
2.000000000000000e-05	6.499789e-05	3.333117e-02	1.056468e-09	-3.333117e-02
2.063041852649791e-05	6.709914e-05	3.333110e-02	1.126969e-09	-3.333110e-02
2.189125557949372e-05	7.130164e-05	3.333095e-02	1.272386e-09	-3.333096e-02
2.441292968548534e-05	7.970659e-05	3.333068e-02	1.589714e-09	-3.333068e-02
2.945627789746858e-05	9.651626e-05	3.333011e-02	2.330342e-09	-3.333012e-02
3.954297432143506e-05	1.301348e-04	3.332899e-02	4.235476e-09	-3.332900e-02
5.971636716936804e-05	1.973684e-04	3.332675e-02	9.741184e-09	-3.332676e-02
1.000631528652340e-04	3.318220e-04	3.332224e-02	2.753379e-08	-3.332227e-02
1.807567242569659e-04	6.006747e-04	3.331322e-02	9.023919e-08	-3.331331e-02
2.807567242569659e-04	9.337508e-04	3.330199e-02	2.181080e-07	-3.330221e-02
3.807567242569659e-04	1.266714e-03	3.329071e-02	4.014800e-07	-3.329111e-02
4.807567242569659e-04	1.599565e-03	3.327937e-02	6.403365e-07	-3.328001e-02
5.807567242569658e-04	1.932301e-03	3.326799e-02	9.346585e-07	-3.326892e-02
6.807567242569658e-04	2.264924e-03	3.325655e-02	1.284427e-06	-3.325783e-02
7.807567242569659e-04	2.597432e-03	3.324506e-02	1.689623e-06	-3.324675e-02
8.807567242569659e-04	2.929825e-03	3.323352e-02	2.150228e-06	-3.323567e-02
9.807567242569660e-04	3.262102e-03	3.322193e-02	2.666221e-06	-3.322460e-02
1.080756724256966e-03	3.594263e-03	3.321029e-02	3.237585e-06	-3.321353e-02
1.180756724256966e-03	3.926308e-03	3.319859e-02	3.864298e-06	-3.320246e-02
1.280756724256966e-03	4.258235e-03	3.318685e-02	4.546343e-06	-3.319139e-02
1.380756724256966e-03	4.590045e-03	3.317505e-02	5.283699e-06	-3.318033e-02
1.480756724256966e-03	4.921736e-03	3.316320e-02	6.076346e-06	-3.316928e-02
1.580756724256966e-03	5.253308e-03	3.315130e-02	6.924266e-06	-3.315822e-02
1.680756724256966e-03	5.584762e-03	3.313935e-02	7.827437e-06	-3.314717e-02
1.780756724256966e-03	5.916095e-03	3.312735e-02	8.785840e-06	-3.313613e-02
1.880756724256966e-03	6.247308e-03	3.311529e-02	9.799455e-06	-3.312509e-02
1.980756724256966e-03	6.578401e-03	3.310319e-02	1.086826e-05	-3.311405e-02
2.080756724256966e-03	6.909372e-03	3.309103e-02	1.199224e-05	-3.310302e-02
2.180756724256966e-03	7.240221e-03	3.307882e-02	1.317137e-05	-3.309199e-02
2.280756724256966e-03	7.570948e-03	3.306656e-02	1.440563e-05	-3.308097e-02
2.380756724256966e-03	7.901552e-03	3.305425e-02	1.569501e-05	-3.306995e-02
2.480756724256965e-03	8.232033e-03	3.304189e-02	1.703947e-05	-3.305893e-02
2.580756724256965e-03	8.562390e-03	3.302948e-02	1.843900e-05	-3.304792e-02
2.680756724256965e-03	8.892622e-03	3.301702e-02	1.989358e-05	-3.303691e-02
2.780756724256965e-03	9.222729e-03	3.300451e-02	2.140319e-05	-3.302591e-02
2.880756724256965e-03	9.552712e-03	3.299194e-02	2.296781e-05	-3.301491e-02
2.980756724256965e-03	9.882568e-03	3.297933e-02	2.458741e-05	-3.300392e-02
3.080756724256964e-03	1.021230e-02	3.296666e-02	2.626198e-05	-3.299292e-02
3.180756724256964e-03	1.054190e-02	3.295394e-02	2.799149e-05	-3.298194e-02
3.280756724256964e-03	1.087138e-02	3.294118e-02	2.977593e-05	-3.297095e-02
3.380756724256964e-03	1.120072e-02	3.292836e-02	3.161526e-05	-3.295998e-02
3.480756724256964e-03	1.152994e-02	3.291549e-02	3.350948e-05	-3.294900e-02
3.580756724256963e-03	1.185903e-02	3.290257e-02	3.545855e-05	-3.293803e-02
3.680756724256963e-03	1.218800e-02	3.288960e-02	3.746247e-05	-3.292707e-02
3.780756724256963e-03	1.251683e-02	3.287658e-02	3.952120e-05	-3.291611e-02
3.880756724256963e-03	1.284553e-02	3.286351e-02	4.163472e-05	-3.290515e-02
3.980756724256963e-03	1.317410e-02	3.285039e-02	4.380301e-05	-3.289420e-02
4.080756724256963e-03	1.350253e-02	3.283722e-02	4.602606e-05	-3.288325e-02
4.180756724256963e-03	1.383084e-02	3.282400e-02	4.830383e-05	-3.287230e-02
4.280756724256964e-03	1.415901e-02	3.281073e-02	5.063631e-05	-3.286137e-02
