time	V(n001)	I(C1)	I(L1)	I(R1)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
9.999999717180685e-10	3.000000e-12	1.500000e-04	3.003000e-21	-1.500000e-04
1.023999971071302e-09	3.073728e-12	1.536000e-04	3.076843e-21	-1.536000e-04
1.071999969777769e-09	3.224640e-12	1.608000e-04	3.228155e-21	-1.608000e-04
1.167999967190704e-09	3.547200e-12	1.752000e-04	3.553526e-21	-1.752000e-04
1.359999962016573e-09	4.275264e-12	2.040000e-04	4.305210e-21	-2.040000e-04
1.743999951668311e-09	6.063168e-12	2.616000e-04	6.291977e-21	-2.616000e-04
2.511999930971788e-09	1.096608e-11	3.768000e-04	1.283611e-20	-3.768000e-04
4.047999889578741e-09	2.608032e-11	6.072000e-04	4.130286e-20	-6.072000e-04
7.119999806792647e-09	7.754246e-11	1.068000e-03	2.005189e-19	-1.068000e-03
1.326399964122046e-08	2.654014e-10	1.989600e-03	1.254230e-18	-1.989600e-03
2.555199931007608e-08	9.808578e-10	3.832800e-03	8.911962e-18	-3.832800e-03
5.012799864778734e-08	3.770725e-09	7.519200e-03	6.730220e-17	-7.519200e-03
9.927999732320984e-08	1.478628e-08	1.489200e-02	5.233701e-16	-1.489200e-02
1.680128558193759e-07	4.234398e-08	2.520192e-02	2.486760e-15	-2.520192e-02
2.438429688483416e-07	8.919058e-08	3.657643e-02	7.473947e-15	-3.657643e-02
3.247175164432933e-07	1.581637e-07	4.870761e-02	1.747635e-14	-4.870761e-02
4.267947917422680e-07	2.732321e-07	6.401919e-02	3.949431e-14	-6.401919e-02
5.609928901122959e-07	4.720709e-07	8.414888e-02	8.950363e-14	-8.414888e-02
7.383958609967687e-07	8.178438e-07	1.107593e-01	2.039213e-13	-1.107593e-01
9.717314910812679e-07	1.416394e-06	1.457596e-01	4.645855e-13	-1.457596e-01
1.000000000000000e-06	1.500001e-06	1.499999e-01	5.058067e-13	-1.499999e-01
1.279087258447598e-06	2.337261e-06	1.499998e-01	1.041273e-12	-1.499998e-01
1.561555064947383e-06	3.184663e-06	1.499997e-01	1.821157e-12	-1.499997e-01
2.126490677946952e-06	4.879465e-06	1.499995e-01	4.099015e-12	-1.499995e-01
3.256361903946091e-06	8.269064e-06	1.499992e-01	1.152709e-11	-1.499992e-01
5.516104355944369e-06	1.504824e-05	1.499985e-01	3.787265e-11	-1.499985e-01
1.003558925994093e-05	2.860650e-05	1.499971e-01	1.365211e-10	-1.499971e-01
1.907455906793404e-05	5.572264e-05	1.499944e-01	5.176454e-10	-1.499944e-01
2.000000000000000e-05	5.849886e-05	1.499941e-01	5.704980e-10	-1.499941e-01
