time,V,IC,IL,IR,R,L,C,vs
0.0,0.0,0.0,0.0,0.0,30,1.5,0.02,1.0
9.999999717180683e-10,1.666667e-12,3.333333e-05,1.112222e-21,-3.333333e-05,30,1.5,0.02,1.0
1.023999971065969e-09,1.707627e-12,3.413333e-05,1.139571e-21,-3.413333e-05,30,1.5,0.02,1.0
1.07199996976177e-09,1.791467e-12,3.573333e-05,1.195613e-21,-3.573333e-05,30,1.5,0.02,1.0
1.167999967153371e-09,1.970666e-12,3.893333e-05,1.316121e-21,-3.893333e-05,30,1.5,0.02,1.0
1.359999961936573e-09,2.375147e-12,4.533333e-05,1.5945219999999999e-21,-4.533333e-05,30,1.5,0.02,1.0
1.743999951502978e-09,3.368426e-12,5.813333e-05,2.330362e-21,-5.813333e-05,30,1.5,0.02,1.0
2.511999930635788e-09,6.092266e-12,8.373333e-05,4.754115e-21,-8.373333e-05,30,1.5,0.02,1.0
4.047999888901408e-09,1.448907e-11,0.0001349333,1.5297349999999998e-20,-0.0001349333,30,1.5,0.02,1.0
7.119999805432648e-09,4.307914e-11,0.0002373333,7.426625999999999e-20,-0.0002373333,30,1.5,0.02,1.0
1.3263999638495132e-08,1.474452e-10,0.0004421333,4.645296999999999e-19,-0.0004421333,30,1.5,0.02,1.0
2.5551999304620092e-08,5.449211e-10,0.0008517333,3.300727e-18,-0.0008517333,30,1.5,0.02,1.0
5.0127998636870014e-08,2.094847e-09,0.001670933,2.492674000000001e-17,-0.001670933,30,1.5,0.02,1.0
9.927999730136985e-08,8.214598e-09,0.003309333,1.938408e-16,-0.003309333,30,1.5,0.02,1.0
1.975839946303695e-07,3.253369e-08,0.006586132,1.529097e-15,-0.006586132,30,1.5,0.02,1.0
2.881551089485768e-07,6.919529e-08,0.009605168,4.600357e-15,-0.009605168,30,1.5,0.02,1.0
3.922418792500107e-07,1.282122e-07,0.01307472,1.144957e-14,-0.01307472,30,1.5,0.02,1.0
