time,V,IC,IL,IR,R,L,C,vs
0.0,0.0,0.0,0.0,0.0,10,1,0.05,1.5
9.999999717180683e-10,3e-12,0.00015,3.003e-21,-0.00015,10,1,0.05,1.5
1.023999971071302e-09,3.073728e-12,0.0001536,3.076843e-21,-0.0001536,10,1,0.05,1.5
1.071999969777769e-09,3.22464e-12,0.0001608,3.228155e-21,-0.0001608,10,1,0.05,1.5
1.167999967190704e-09,3.5472e-12,0.0001752,3.553526e-21,-0.0001752,10,1,0.05,1.5
1.359999962016573e-09,4.275264e-12,0.000204,4.30521e-21,-0.000204,10,1,0.05,1.5
1.743999951668311e-09,6.063168e-12,0.0002616,6.291977e-21,-0.0002616,10,1,0.05,1.5
2.5119999309717882e-09,1.096608e-11,0.0003768,1.283611e-20,-0.0003768,10,1,0.05,1.5
4.047999889578741e-09,2.608032e-11,0.0006072,4.130286e-20,-0.0006072,10,1,0.05,1.5
7.119999806792647e-09,7.754246e-11,0.001068,2.0051889999999998e-19,-0.001068,10,1,0.05,1.5
1.3263999641220462e-08,2.654014e-10,0.0019896,1.25423e-18,-0.0019896,10,1,0.05,1.5
2.5551999310076083e-08,9.808578e-10,0.0038328,8.911962e-18,-0.0038328,10,1,0.05,1.5
5.012799864778734e-08,3.770725e-09,0.0075192,6.73022e-17,-0.0075192,10,1,0.05,1.5
9.927999732320985e-08,1.478628e-08,0.014892,5.233701e-16,-0.014892,10,1,0.05,1.5
1.680128558193759e-07,4.234398e-08,0.02520192,2.48676e-15,-0.02520192,10,1,0.05,1.5
2.438429688483416e-07,8.919058e-08,0.03657643,7.473947e-15,-0.03657643,10,1,0.05,1.5
3.247175164432933e-07,1.581637e-07,0.04870761,1.747635e-14,-0.04870761,10,1,0.05,1.5
4.26794791742268e-07,2.732321e-07,0.06401919,3.949431e-14,-0.06401919,10,1,0.05,1.5
5.609928901122959e-07,4.720709e-07,0.08414888,8.950363e-14,-0.08414888,10,1,0.05,1.5
7.383958609967687e-07,8.178438e-07,0.1107593,2.039213e-13,-0.1107593,10,1,0.05,1.5
9.71731491081268e-07,1.416394e-06,0.1457596,4.645855e-13,-0.1457596,10,1,0.05,1.5
1e-06,1.500001e-06,0.1499999,5.058067e-13,-0.1499999,10,1,0.05,1.5
1.279087258447598e-06,2.337261e-06,0.1499998,1.041273e-12,-0.1499998,10,1,0.05,1.5
1.561555064947383e-06,3.184663e-06,0.1499997,1.821157e-12,-0.1499997,10,1,0.05,1.5
2.126490677946952e-06,4.879465e-06,0.1499995,4.099015e-12,-0.1499995,10,1,0.05,1.5
3.256361903946091e-06,8.269064e-06,0.1499992,1.152709e-11,-0.1499992,10,1,0.05,1.5
5.516104355944369e-06,1.504824e-05,0.1499985,3.787265e-11,-0.1499985,10,1,0.05,1.5
1.003558925994093e-05,2.86065e-05,0.1499971,1.365211e-10,-0.1499971,10,1,0.05,1.5
1.907455906793404e-05,5.572264e-05,0.1499944,5.176454e-10,-0.1499944,10,1,0.05,1.5
2e-05,5.849886e-05,0.1499941,5.70498e-10,-0.1499941,10,1,0.05,1.5
2.06091441254719e-05,6.032622e-05,0.149994,6.072454e-10,-0.149994,10,1,0.05,1.5
2.182743237641571e-05,6.398093e-05,0.1499936,6.829664e-10,-0.1499936,10,1,0.05,1.5
2.426400887830333e-05,7.129033e-05,0.1499929,8.477658e-10,-0.1499929,10,1,0.05,1.5
2.913716188207856e-05,8.590903e-05,0.1499914,1.230794e-09,-0.1499914,10,1,0.05,1.5
3.888346788962901e-05,0.000115146,0.1499885,2.210566e-09,-0.1499885,10,1,0.05,1.5
5.837607990472993e-05,0.0001736182,0.1499826,5.02495e-09,-0.1499826,10,1,0.05,1.5
9.736130393493177e-05,0.0002905558,0.1499709,1.407291e-08,-0.1499709,10,1,0.05,1.5
0.0001753317519953,0.0005244035,0.1499475,4.584428e-08,-0.1499476,10,1,0.05,1.5
0.0002753317519953,0.0008242685,0.1499175,1.132779e-07,-0.1499176,10,1,0.05,1.5
0.0003753317519953,0.001124073,0.1498874,2.106949e-07,-0.1498876,10,1,0.05,1.5
0.0004753317519953,0.001423818,0.1498573,3.380895e-07,-0.1498576,10,1,0.05,1.5
0.0005753317519953,0.001723502,0.1498272,4.954555e-07,-0.1498276,10,1,0.05,1.5
0.0006753317519953,0.002023127,0.149797,6.827868e-07,-0.1497977,10,1,0.05,1.5
0.0007753317519953,0.00232269,0.1497668,9.000776e-07,-0.1497677,10,1,0.05,1.5
0.0008753317519953,0.002622194,0.1497366,1.147322e-06,-0.1497378,10,1,0.05,1.5
0.0009753317519953,0.002921637,0.1497064,1.424513e-06,-0.1497078,10,1,0.05,1.5
0.0010753317519953,0.003221019,0.1496762,1.731646e-06,-0.1496779,10,1,0.05,1.5
0.0011753317519953,0.003520342,0.1496459,2.068714e-06,-0.149648,10,1,0.05,1.5
0.0012753317519953,0.003819603,0.1496156,2.435711e-06,-0.149618,10,1,0.05,1.5
0.0013753317519953,0.004118804,0.1495853,2.832631e-06,-0.1495881,10,1,0.05,1.5
0.0014753317519953,0.004417944,0.149555,3.259468e-06,-0.1495582,10,1,0.05,1.5
0.0015753317519953,0.004717024,0.1495246,3.716216e-06,-0.1495283,10,1,0.05,1.5
0.0016753317519953,0.005016042,0.1494942,4.202869e-06,-0.1494984,10,1,0.05,1.5
0.0017753317519953,0.005315001,0.1494638,4.719421e-06,-0.1494685,10,1,0.05,1.5
0.0018753317519953,0.005613897,0.1494333,5.265865e-06,-0.1494386,10,1,0.05,1.5
0.0019753317519953,0.005912734,0.1494029,5.842196e-06,-0.1494087,10,1,0.05,1.5
0.0020753317519953,0.006211509,0.1493724,6.448407e-06,-0.1493789,10,1,0.05,1.5
0.0021753317519953,0.006510223,0.1493419,7.084494e-06,-0.149349,10,1,0.05,1.5
0.0022753317519953,0.006808877,0.1493114,7.750447e-06,-0.1493191,10,1,0.05,1.5
0.0023753317519953,0.007107469,0.1492808,8.446264e-06,-0.1492893,10,1,0.05,1.5
