time,V,IC,IL,IR,R,L,C,vs
0.0,0.0,0.0,0.0,0.0,30,0.6,0.01,1.0
9.999999717180683e-10,3.333333e-12,3.333333e-05,5.561111e-21,-3.333333e-05,30,0.6,0.01,1.0
1.023999971092636e-09,3.415253e-12,3.413333e-05,5.697857e-21,-3.413333e-05,30,0.6,0.01,1.0
1.0719999698417702e-09,3.582933e-12,3.573333e-05,5.978064e-21,-3.573333e-05,30,0.6,0.01,1.0
1.167999967340038e-09,3.941333e-12,3.893333e-05,6.580603e-21,-3.893333e-05,30,0.6,0.01,1.0
1.359999962336573e-09,4.750293e-12,4.533333e-05,7.972612e-21,-4.533333e-05,30,0.6,0.01,1.0
1.743999952329645e-09,6.736853e-12,5.813333e-05,1.165181e-20,-5.813333e-05,30,0.6,0.01,1.0
2.511999932315788e-09,1.218453e-11,8.373333e-05,2.377057e-20,-8.373333e-05,30,0.6,0.01,1.0
4.0479998922880744e-09,2.897813e-11,0.0001349333,7.648677e-20,-0.0001349333,30,0.6,0.01,1.0
7.119999812232647e-09,8.615829e-11,0.0002373333,3.7133129999999997e-19,-0.0002373333,30,0.6,0.01,1.0
1.326399965212179e-08,2.948904e-10,0.0004421333,2.3226490000000002e-18,-0.0004421333,30,0.6,0.01,1.0
2.5551999331900092e-08,1.089842e-09,0.0008517333,1.6503630000000006e-17,-0.0008517333,30,0.6,0.01,1.0
5.012799869145668e-08,4.189694e-09,0.001670933,1.246337e-16,-0.001670933,30,0.6,0.01,1.0
9.927999741056985e-08,1.64292e-08,0.003309333,9.692038e-16,-0.003309333,30,0.6,0.01,1.0
1.666385190400353e-07,4.628232e-08,0.005554616,4.489383e-15,-0.005554616,30,0.6,0.01,1.0
2.476419644377579e-07,1.022125e-07,0.008254728,1.45133e-14,-0.008254728,30,0.6,0.01,1.0
3.210954385296503e-07,1.718387e-07,0.01070318,3.128844e-14,-0.01070318,30,0.6,0.01,1.0
4.287746479646264e-07,3.064144e-07,0.01429248,7.420359e-14,-0.01429248,30,0.6,0.01,1.0
5.573964446484351e-07,5.178193e-07,0.01857986,1.625493e-13,-0.01857986,30,0.6,0.01,1.0
7.403574232855732e-07,9.135495e-07,0.02467855,3.807871e-13,-0.02467855,30,0.6,0.01,1.0
9.681283010572662e-07,1.562121e-06,0.03227089,8.506928e-13,-0.03227089,30,0.6,0.01,1.0
1e-06,1.666666e-06,0.03333328,9.364488e-13,-0.03333328,30,0.6,0.01,1.0
1.280650902280653e-06,2.602168e-06,0.03333325,1.934827e-12,-0.03333325,30,0.6,0.01,1.0
1.564075735637761e-06,3.546914e-06,0.03333322,3.387164e-12,-0.03333322,30,0.6,0.01,1.0
2.130925402351977e-06,5.436405e-06,0.03333315,7.63066e-12,-0.03333315,30,0.6,0.01,1.0
3.26462473578041e-06,9.215374e-06,0.03333303,2.147293e-11,-0.03333303,30,0.6,0.01,1.0
5.532023402637276e-06,1.677327e-05,0.03333277,7.057846e-11,-0.03333277,30,0.6,0.01,1.0
1.006682073635101e-05,3.18889e-05,0.03333227,2.544727e-10,-0.03333227,30,0.6,0.01,1.0
1.913641540377847e-05,6.211946e-05,0.03333126,9.649874e-10,-0.03333126,30,0.6,0.01,1.0
2e-05,6.499789e-05,0.03333117,1.056468e-09,-0.03333117,30,0.6,0.01,1.0
2.063041852649791e-05,6.709914e-05,0.0333311,1.126969e-09,-0.0333311,30,0.6,0.01,1.0
2.189125557949372e-05,7.130164e-05,0.03333095,1.272386e-09,-0.03333096,30,0.6,0.01,1.0
2.441292968548534e-05,7.970659e-05,0.03333068,1.589714e-09,-0.03333068,30,0.6,0.01,1.0
2.945627789746858e-05,9.651626e-05,0.03333011,2.330342e-09,-0.03333012,30,0.6,0.01,1.0
3.954297432143506e-05,0.0001301348,0.03332899,4.235476e-09,-0.033329,30,0.6,0.01,1.0
5.971636716936804e-05,0.0001973684,0.03332675,9.741184e-09,-0.03332676,30,0.6,0.01,1.0
0.0001000631528652,0.000331822,0.03332224,2.753379e-08,-0.03332227,30,0.6,0.01,1.0
0.0001807567242569,0.0006006747,0.03331322,9.023919e-08,-0.03331331,30,0.6,0.01,1.0
0.0002807567242569,0.0009337508,0.03330199,2.18108e-07,-0.03330221,30,0.6,0.01,1.0
0.0003807567242569,0.001266714,0.03329071,4.0148e-07,-0.03329111,30,0.6,0.01,1.0
0.0004807567242569,0.001599565,0.03327937,6.403365e-07,-0.03328001,30,0.6,0.01,1.0
0.0005807567242569,0.001932301,0.03326799,9.346585e-07,-0.03326892,30,0.6,0.01,1.0
0.0006807567242569,0.002264924,0.03325655,1.284427e-06,-0.03325783,30,0.6,0.01,1.0
0.0007807567242569,0.002597432,0.03324506,1.689623e-06,-0.03324675,30,0.6,0.01,1.0
0.0008807567242569,0.002929825,0.03323352,2.150228e-06,-0.03323567,30,0.6,0.01,1.0
0.0009807567242569,0.003262102,0.03322193,2.666221e-06,-0.0332246,30,0.6,0.01,1.0
0.0010807567242569,0.003594263,0.03321029,3.237585e-06,-0.03321353,30,0.6,0.01,1.0
0.0011807567242569,0.003926308,0.03319859,3.864298e-06,-0.03320246,30,0.6,0.01,1.0
0.0012807567242569,0.004258235,0.03318685,4.546343e-06,-0.03319139,30,0.6,0.01,1.0
0.0013807567242569,0.004590045,0.03317505,5.283699e-06,-0.03318033,30,0.6,0.01,1.0
0.0014807567242569,0.004921736,0.0331632,6.076346e-06,-0.03316928,30,0.6,0.01,1.0
0.0015807567242569,0.005253308,0.0331513,6.924266e-06,-0.03315822,30,0.6,0.01,1.0
0.0016807567242569,0.005584762,0.03313935,7.827437e-06,-0.03314717,30,0.6,0.01,1.0
0.0017807567242569,0.005916095,0.03312735,8.78584e-06,-0.03313613,30,0.6,0.01,1.0
0.0018807567242569,0.006247308,0.03311529,9.799455e-06,-0.03312509,30,0.6,0.01,1.0
0.0019807567242569,0.006578401,0.03310319,1.086826e-05,-0.03311405,30,0.6,0.01,1.0
0.0020807567242569,0.006909372,0.03309103,1.199224e-05,-0.03310302,30,0.6,0.01,1.0
