time,V,IC,IL,IR,R,L,C,vs
0.0,0.0,0.0,0.0,0.0,100,2,0.0005,1
9.999999717180683e-10,2e-11,1e-05,1.0010000000000002e-20,-1e-05,100,2,0.0005,1
1.023999971359302e-09,2.049152e-11,1.024e-05,1.0256139999999999e-20,-1.024e-05,100,2,0.0005,1
1.07199997064177e-09,2.14976e-11,1.072e-05,1.076052e-20,-1.072e-05,100,2,0.0005,1
1.167999969206704e-09,2.3648e-11,1.168e-05,1.1845089999999999e-20,-1.168e-05,100,2,0.0005,1
1.3599999663365731e-09,2.850176e-11,1.36e-05,1.43507e-20,-1.36e-05,100,2,0.0005,1
1.743999960596312e-09,4.042112e-11,1.744e-05,2.0973249999999998e-20,-1.744e-05,100,2,0.0005,1
2.511999949115789e-09,7.310719e-11,2.512e-05,4.278704e-20,-2.512e-05,100,2,0.0005,1
4.047999926154742e-09,1.738688e-10,4.048e-05,1.376762e-19,-4.048e-05,100,2,0.0005,1
7.119999880232651e-09,5.169497e-10,7.12e-05,6.683963e-19,-7.12e-05,100,2,0.0005,1
1.3263999788388461e-08,1.769342e-09,0.00013264,4.180767e-18,-0.00013264,100,2,0.0005,1
2.5551999604700106e-08,6.539052e-09,0.0002555199,2.970654e-17,-0.0002555199,100,2,0.0005,1
5.012799923732335e-08,2.513816e-08,0.0005012797,2.243406e-16,-0.0005012797,100,2,0.0005,1
8.710351896547406e-08,7.588019e-08,0.0008710345,1.158168e-15,-0.0008710345,100,2,0.0005,1
1.312143667827824e-07,1.72182e-07,0.001312142,3.893774e-15,-0.001312142,100,2,0.0005,1
1.72128337753845e-07,2.962913e-07,0.00172128,8.685611e-15,-0.00172128,100,2,0.0005,1
2.286269587156367e-07,5.227121e-07,0.002286264,2.025386e-14,-0.002286264,100,2,0.0005,1
2.982035715936398e-07,8.892619e-07,0.002982027,4.481414e-14,-0.002982027,100,2,0.0005,1
3.9487359996021e-07,1.559257e-06,0.003948721,1.039891e-13,-0.003948721,100,2,0.0005,1
5.174205388554046e-07,2.677241e-06,0.005174179,2.337821e-13,-0.005174179,100,2,0.0005,1
6.833386767160021e-07,4.669506e-06,0.00683334,5.385227e-13,-0.00683334,100,2,0.0005,1
8.971156272179964e-07,8.048126e-06,0.008971076,1.218209e-12,-0.008971076,100,2,0.0005,1
1e-06,9.999942e-06,0.0099999,1.682426e-12,-0.0099999,100,2,0.0005,1
1.205768745564007e-06,1.411527e-05,0.009999859,2.922967e-12,-0.009999859,100,2,0.0005,1
1.564954639270139e-06,2.129886e-05,0.009999787,6.103034e-12,-0.009999787,100,2,0.0005,1
2.098929052109929e-06,3.197806e-05,0.00999968,1.321517e-11,-0.00999968,100,2,0.0005,1
3.166877877789509e-06,5.333613e-05,0.009999467,3.599298e-11,-0.009999467,100,2,0.0005,1
5.302775529148668e-06,9.605089e-05,0.00999904,1.157618e-10,-0.00999904,100,2,0.0005,1
9.574570831866984e-06,0.0001814749,0.009998185,4.121453e-10,-0.009998186,100,2,0.0005,1
1.811816143730362e-05,0.0003523011,0.009996476,1.552236e-09,-0.009996477,100,2,0.0005,1
2e-05,0.0003899239,0.009996098,1.901423e-09,-0.0099961,100,2,0.0005,1
2.071840304106165e-05,0.0004042862,0.009995955,2.046644e-09,-0.009995957,100,2,0.0005,1
2.215520912318494e-05,0.0004330103,0.009995667,2.347402e-09,-0.00999567,100,2,0.0005,1
2.502882128743152e-05,0.0004904559,0.009995093,3.010823e-09,-0.009995095,100,2,0.0005,1
3.077604561592468e-05,0.0006053374,0.009993942,4.585266e-09,-0.009993946,100,2,0.0005,1
4.227049427291102e-05,0.0008350607,0.00999164,8.724411e-09,-0.00999165,100,2,0.0005,1
6.525939158688368e-05,0.001294348,0.009987036,2.09626e-08,-0.009987056,100,2,0.0005,1
0.0001112371862148,0.002212288,0.009977816,6.126946e-08,-0.009977877,100,2,0.0005,1
0.0002031927754707,0.004045621,0.009959338,2.051319e-07,-0.009959544,100,2,0.0005,1
0.0003031927754707,0.006035474,0.009939188,4.571592e-07,-0.009939645,100,2,0.0005,1
0.0004031927754707,0.00802129,0.009918978,8.085783e-07,-0.009919787,100,2,0.0005,1
0.0005031927754707,0.01000306,0.00989871,1.259187e-06,-0.009899969,100,2,0.0005,1
0.0006031927754707,0.01198077,0.009878384,1.808783e-06,-0.009880193,100,2,0.0005,1
0.0007031927754707,0.01395441,0.009857999,2.457162e-06,-0.009860456,100,2,0.0005,1
0.0008031927754707,0.01592396,0.009837557,3.204121e-06,-0.00984076,100,2,0.0005,1
0.0009031927754707,0.01788942,0.009817056,4.049456e-06,-0.009821106,100,2,0.0005,1
0.0010031927754707,0.01985078,0.009796499,4.99296e-06,-0.009801492,100,2,0.0005,1
0.0011031927754707,0.02180802,0.009775885,6.03443e-06,-0.009781919,100,2,0.0005,1
0.0012031927754707,0.02376113,0.009755215,7.173658e-06,-0.009762389,100,2,0.0005,1
0.0013031927754707,0.0257101,0.009734489,8.410439e-06,-0.009742899,100,2,0.0005,1
0.0014031927754707,0.02765492,0.009713707,9.744564e-06,-0.009723451,100,2,0.0005,1
0.0015031927754707,0.02959557,0.009692868,1.117583e-05,-0.009704044,100,2,0.0005,1
