time,V,IC,IL,IR,R,L,C,vs
0.0,0.0,0.0,0.0,0.0,10,0.2,0.05,1.0
9.999999717180683e-10,2e-12,0.0001,1.0010000000000002e-20,-0.0001,10,0.2,0.05,1.0
1.023999971071302e-09,2.049152e-12,0.0001024,1.0256139999999999e-20,-0.0001024,10,0.2,0.05,1.0
1.071999969777769e-09,2.14976e-12,0.0001072,1.076052e-20,-0.0001072,10,0.2,0.05,1.0
1.167999967190704e-09,2.3648e-12,0.0001168,1.1845089999999999e-20,-0.0001168,10,0.2,0.05,1.0
1.359999962016573e-09,2.850176e-12,0.000136,1.43507e-20,-0.000136,10,0.2,0.05,1.0
1.743999951668311e-09,4.042112e-12,0.0001744,2.097326e-20,-0.0001744,10,0.2,0.05,1.0
2.511999930971787e-09,7.31072e-12,0.0002512,4.278704e-20,-0.0002512,10,0.2,0.05,1.0
4.04799988957874e-09,1.738688e-11,0.0004048,1.376762e-19,-0.0004048,10,0.2,0.05,1.0
7.119999806792646e-09,5.169497e-11,0.0007119999,6.683963e-19,-0.0007119999,10,0.2,0.05,1.0
1.3263999641220462e-08,1.769343e-10,0.0013264,4.180767e-18,-0.0013264,10,0.2,0.05,1.0
2.5551999310076083e-08,6.539052e-10,0.0025552,2.970654e-17,-0.0025552,10,0.2,0.05,1.0
5.012799864778732e-08,2.513817e-09,0.0050128,2.243407e-16,-0.0050128,10,0.2,0.05,1.0
9.927999732320981e-08,9.857517e-09,0.009927998,1.744567e-15,-0.009927998,10,0.2,0.05,1.0
1.819597361555351e-07,3.311034e-08,0.01819597,1.062611e-14,-0.01819597,10,0.2,0.05,1.0
2.739707812743651e-07,7.506097e-08,0.02739707,3.550871e-14,-0.02739707,10,0.2,0.05,1.0
3.649226754753576e-07,1.331695e-07,0.03649225,8.28564e-14,-0.03649225,10,0.2,0.05,1.0
4.805939774599867e-07,2.309715e-07,0.04805937,1.881586e-13,-0.04805937,10,0.2,0.05,1.0
6.304428941280479e-07,3.974591e-07,0.06304425,4.235835e-13,-0.06304425,10,0.2,0.05,1.0
8.30872239623573e-07,6.903493e-07,0.08308715,9.686568e-13,-0.08308715,10,0.2,0.05,1.0
1e-06,1e-06,0.0999999,1.683371e-12,-0.0999999,10,0.2,0.05,1.0
1.338255520752854e-06,1.67651e-06,0.09999983,3.946736e-12,-0.09999983,10,0.2,0.05,1.0
1.69363388872197e-06,2.387266e-06,0.09999976,7.557185e-12,-0.09999976,10,0.2,0.05,1.0
2.339610088504056e-06,3.679214e-06,0.09999963,1.735419e-11,-0.09999963,10,0.2,0.05,1.0
3.631562488068229e-06,6.263106e-06,0.09999938,4.946672e-11,-0.09999938,10,0.2,0.05,1.0
6.215467287196575e-06,1.143087e-05,0.09999885,1.637656e-10,-0.09999885,10,0.2,0.05,1.0
1.138327688545326e-05,2.176632e-05,0.09999783,5.926575e-10,-0.09999783,10,0.2,0.05,1.0
2e-05,3.899924e-05,0.0999961,1.901657e-09,-0.0999961,10,0.2,0.05,1.0
2.103356191965134e-05,4.106628e-05,0.09999589,2.11388e-09,-0.0999959,10,0.2,0.05,1.0
2.310068575895402e-05,4.520035e-05,0.09999548,2.55969e-09,-0.09999548,10,0.2,0.05,1.0
2.723493343755937e-05,5.346844e-05,0.09999465,3.579493e-09,-0.09999465,10,0.2,0.05,1.0
3.550342879477007e-05,7.00044e-05,0.09999299,6.131829e-09,-0.099993,10,0.2,0.05,1.0
