time,V,IC,IL,IR,R,L,C,vs
0.0,0.0,0.0,0.0,0.0,30,1.5,0.01,0.5
9.999999717180683e-10,1.666667e-12,1.666667e-05,1.112222e-21,-1.666667e-05,30,1.5,0.01,0.5
1.023999971092636e-09,1.707627e-12,1.706667e-05,1.139571e-21,-1.706667e-05,30,1.5,0.01,0.5
1.0719999698417702e-09,1.791467e-12,1.786667e-05,1.195613e-21,-1.786667e-05,30,1.5,0.01,0.5
1.167999967340038e-09,1.970666e-12,1.946667e-05,1.316121e-21,-1.946667e-05,30,1.5,0.01,0.5
1.359999962336573e-09,2.375147e-12,2.266667e-05,1.5945219999999999e-21,-2.266667e-05,30,1.5,0.01,0.5
1.743999952329645e-09,3.368426e-12,2.906666e-05,2.330362e-21,-2.906666e-05,30,1.5,0.01,0.5
2.511999932315788e-09,6.092266e-12,4.186666e-05,4.754115e-21,-4.186666e-05,30,1.5,0.01,0.5
4.0479998922880744e-09,1.448907e-11,6.746667e-05,1.5297349999999998e-20,-6.746667e-05,30,1.5,0.01,0.5
7.119999812232647e-09,4.307914e-11,0.0001186667,7.426625999999999e-20,-0.0001186667,30,1.5,0.01,0.5
1.326399965212179e-08,1.474452e-10,0.0002210667,4.645296999999999e-19,-0.0002210667,30,1.5,0.01,0.5
2.5551999331900092e-08,5.44921e-10,0.0004258666,3.300727e-18,-0.0004258666,30,1.5,0.01,0.5
5.012799869145668e-08,2.094847e-09,0.0008354665,2.492674000000001e-17,-0.0008354665,30,1.5,0.01,0.5
9.927999741056985e-08,8.214598e-09,0.001654666,1.938408e-16,-0.001654666,30,1.5,0.01,0.5
1.975839948487962e-07,3.253369e-08,0.003293066,1.529097e-15,-0.003293066,30,1.5,0.01,0.5
2.881551175373959e-07,6.919529e-08,0.004802583,4.600357e-15,-0.004802583,30,1.5,0.01,0.5
3.922418964281441e-07,1.282122e-07,0.006537361,1.144957e-14,-0.006537361,30,1.5,0.01,0.5
5.095322707596552e-07,2.163533e-07,0.008492197,2.492103e-14,-0.008492197,30,1.5,0.01,0.5
6.755146394591827e-07,3.802672e-07,0.01125856,5.793064e-14,-0.01125856,30,1.5,0.01,0.5
8.8348386680089e-07,6.504533e-07,0.01472471,1.293835e-13,-0.01472471,30,1.5,0.01,0.5
