time,V,IC,IL,IR,R,L,C,vs
0.0,0.0,0.0,0.0,0.0,100,10,0.0005,1.5
9.999999717180683e-10,3e-11,1.5e-05,3.003e-21,-1.5e-05,100,10,0.0005,1.5
1.023999971359302e-09,3.073728e-11,1.536e-05,3.076843e-21,-1.536e-05,100,10,0.0005,1.5
1.071999970641769e-09,3.22464e-11,1.608e-05,3.228155e-21,-1.608e-05,100,10,0.0005,1.5
1.167999969206704e-09,3.5472e-11,1.752e-05,3.553526e-21,-1.752e-05,100,10,0.0005,1.5
1.3599999663365731e-09,4.275264e-11,2.04e-05,4.30521e-21,-2.04e-05,100,10,0.0005,1.5
1.743999960596311e-09,6.063167e-11,2.616e-05,6.291977e-21,-2.616e-05,100,10,0.0005,1.5
2.511999949115788e-09,1.096608e-10,3.768e-05,1.283611e-20,-3.768e-05,100,10,0.0005,1.5
4.0479999261547405e-09,2.608032e-10,6.071999e-05,4.130286e-20,-6.071999e-05,100,10,0.0005,1.5
7.119999880232647e-09,7.754246e-10,0.0001068,2.0051889999999998e-19,-0.0001068,100,10,0.0005,1.5
1.3263999788388461e-08,2.654014e-09,0.00019896,1.25423e-18,-0.00019896,100,10,0.0005,1.5
2.555199960470009e-08,9.808577e-09,0.0003832799,8.911961e-18,-0.0003832799,100,10,0.0005,1.5
5.012799923732333e-08,3.770724e-08,0.0007519196,6.730219e-17,-0.0007519196,100,10,0.0005,1.5
8.30596204278005e-08,1.034985e-07,0.001245893,2.998154e-16,-0.001245893,100,10,0.0005,1.5
1.217871032901522e-07,2.224963e-07,0.001826804,9.310751e-16,-0.001826804,100,10,0.0005,1.5
1.572291368098934e-07,3.708296e-07,0.002358433,1.982524e-15,-0.002358433,100,10,0.0005,1.5
2.101801060366578e-07,6.626492e-07,0.003152695,4.718738e-15,-0.003152695,100,10,0.0005,1.5
2.730615786472914e-07,1.118452e-06,0.004095912,1.03187e-14,-0.004095912,100,10,0.0005,1.5
3.629448248239891e-07,1.975944e-06,0.005444153,2.42255e-14,-0.005444153,100,10,0.0005,1.5
4.743971087276115e-07,3.375794e-06,0.007115923,5.404882e-14,-0.007115923,100,10,0.0005,1.5
6.27757553137047e-07,5.911183e-06,0.009416305,1.252618e-13,-0.009416305,100,10,0.0005,1.5
8.229827741134552e-07,1.015947e-05,0.01234464,2.821321e-13,-0.01234464,100,10,0.0005,1.5
1e-06,1.499991e-05,0.01499985,5.048147e-13,-0.01499985,100,10,0.0005,1.5
1.35403445177309e-06,2.56208e-05,0.01499974,1.223872e-12,-0.01499974,100,10,0.0005,1.5
1.709198770249472e-06,3.627551e-05,0.01499964,2.323042e-12,-0.01499964,100,10,0.0005,1.5
2.368345568963825e-06,5.604931e-05,0.01499944,5.365824e-12,-0.01499944,100,10,0.0005,1.5
3.686639166392532e-06,9.559611e-05,0.01499904,1.536149e-11,-0.01499904,100,10,0.0005,1.5
6.323226361249943e-06,0.0001746866,0.01499825,5.099269e-11,-0.01499825,100,10,0.0005,1.5
1.159640075096477e-05,0.0003328551,0.01499667,1.848105e-10,-0.01499667,100,10,0.0005,1.5
2e-05,0.0005848859,0.01499415,5.704269e-10,-0.01499415,100,10,0.0005,1.5
2.105463487794297e-05,0.000616512,0.01499383,6.354464e-10,-0.01499384,100,10,0.0005,1.5
2.31639046338289e-05,0.0006797627,0.0149932,7.721561e-10,-0.0149932,100,10,0.0005,1.5
2.738244414560076e-05,0.0008062562,0.01499194,1.085598e-09,-0.01499194,100,10,0.0005,1.5
3.581952316914448e-05,0.001059211,0.01498941,1.872552e-09,-0.01498941,100,10,0.0005,1.5
5.269368121623192e-05,0.001564993,0.01498435,4.086614e-09,-0.01498435,100,10,0.0005,1.5
8.644199731040679e-05,0.002576045,0.01497423,1.107427e-08,-0.01497424,100,10,0.0005,1.5
0.0001539386294987,0.004596099,0.014954,3.527904e-08,-0.01495404,100,10,0.0005,1.5
0.0002539386294987,0.007583906,0.01492407,9.617907e-08,-0.01492416,100,10,0.0005,1.5
0.0003539386294987,0.01056573,0.01489416,1.869272e-07,-0.01489434,100,10,0.0005,1.5
0.0004539386294987,0.01354157,0.01486428,3.074638e-07,-0.01486458,100,10,0.0005,1.5
0.0005539386294987,0.01651144,0.01483443,4.577288e-07,-0.01483489,100,10,0.0005,1.5
0.0006539386294987,0.01947535,0.01480461,6.376627e-07,-0.01480525,100,10,0.0005,1.5
0.0007539386294987,0.02243329,0.01477482,8.472059e-07,-0.01477567,100,10,0.0005,1.5
0.0008539386294987,0.02538528,0.01474506,1.086299e-06,-0.01474615,100,10,0.0005,1.5
0.0009539386294987,0.02833132,0.01471533,1.354882e-06,-0.01471669,100,10,0.0005,1.5
0.0010539386294987,0.03127141,0.01468563,1.652895e-06,-0.01468729,100,10,0.0005,1.5
0.0011539386294987,0.03420557,0.01465596,1.98028e-06,-0.01465794,100,10,0.0005,1.5
0.0012539386294987,0.0371338,0.01462633,2.336977e-06,-0.01462866,100,10,0.0005,1.5
0.0013539386294987,0.04005611,0.01459672,2.722927e-06,-0.01459944,100,10,0.0005,1.5
0.0014539386294987,0.04297249,0.01456714,3.13807e-06,-0.01457028,100,10,0.0005,1.5
0.0015539386294987,0.04588296,0.01453759,3.582347e-06,-0.01454117,100,10,0.0005,1.5
0.0016539386294987,0.04878753,0.01450807,4.055699e-06,-0.01451212,100,10,0.0005,1.5
0.0017539386294987,0.05168619,0.01447858,4.558068e-06,-0.01448314,100,10,0.0005,1.5
0.0018539386294987,0.05457896,0.01444912,5.089394e-06,-0.01445421,100,10,0.0005,1.5
0.0019539386294987,0.05746584,0.01441969,5.649617e-06,-0.01442534,100,10,0.0005,1.5
0.0020539386294987,0.06034684,0.01439029,6.238681e-06,-0.01439653,100,10,0.0005,1.5
0.0021539386294987,0.06322197,0.01436092,6.856525e-06,-0.01436778,100,10,0.0005,1.5
0.0022539386294987,0.06609122,0.01433158,7.503091e-06,-0.01433909,100,10,0.0005,1.5
0.0023539386294987,0.0689546,0.01430228,8.17832e-06,-0.01431045,100,10,0.0005,1.5
0.0024539386294987,0.07181213,0.014273,8.882153e-06,-0.01428188,100,10,0.0005,1.5
0.0025539386294987,0.0746638,0.01424375,9.614533e-06,-0.01425336,100,10,0.0005,1.5
0.0026539386294987,0.07750963,0.01421453,1.03754e-05,-0.0142249,100,10,0.0005,1.5
0.0027539386294987,0.08034962,0.01418534,1.11647e-05,-0.0141965,100,10,0.0005,1.5
0.0028539386294987,0.08318377,0.01415618,1.198236e-05,-0.01416816,100,10,0.0005,1.5
0.0029539386294987,0.0860121,0.01412705,1.282834e-05,-0.01413988,100,10,0.0005,1.5
0.0030539386294987,0.08883459,0.01409795,1.370258e-05,-0.01411165,100,10,0.0005,1.5
0.0031539386294987,0.09165128,0.01406888,1.4605e-05,-0.01408349,100,10,0.0005,1.5
0.0032539386294987,0.09446215,0.01403984,1.553557e-05,-0.01405538,100,10,0.0005,1.5
0.0033539386294987,0.09726722,0.01401083,1.649422e-05,-0.01402733,100,10,0.0005,1.5
0.0034539386294987,0.1000665,0.01398185,1.748089e-05,-0.01399934,100,10,0.0005,1.5
0.0035539386294987,0.10286,0.01395291,1.849552e-05,-0.0139714,100,10,0.0005,1.5
0.0036539386294987,0.1056477,0.01392399,1.953806e-05,-0.01394352,100,10,0.0005,1.5
0.0037539386294987,0.1084296,0.0138951,2.060844e-05,-0.0139157,100,10,0.0005,1.5
0.0038539386294987,0.1112057,0.01386624,2.170662e-05,-0.01388794,100,10,0.0005,1.5
0.0039539386294987,0.1139761,0.01383741,2.283253e-05,-0.01386024,100,10,0.0005,1.5
0.0040539386294987,0.1167407,0.01380861,2.398611e-05,-0.01383259,100,10,0.0005,1.5
0.0041539386294987,0.1194995,0.01377984,2.516731e-05,-0.013805,100,10,0.0005,1.5
0.0042539386294987,0.1222526,0.0137511,2.637607e-05,-0.01377747,100,10,0.0005,1.5
0.0043539386294987,0.1249999,0.01372239,2.761233e-05,-0.01375,100,10,0.0005,1.5
0.0044539386294987,0.1277416,0.01369371,2.887604e-05,-0.01372258,100,10,0.0005,1.5
0.0045539386294987,0.1304774,0.01366506,3.016714e-05,-0.01369523,100,10,0.0005,1.5
0.0046539386294987,0.1332076,0.01363644,3.148556e-05,-0.01366792,100,10,0.0005,1.5
0.0047539386294987,0.135932,0.01360785,3.283126e-05,-0.01364068,100,10,0.0005,1.5
0.0048539386294987,0.1386507,0.01357929,3.420417e-05,-0.01361349,100,10,0.0005,1.5
0.0049539386294987,0.1413637,0.01355076,3.560424e-05,-0.01358636,100,10,0.0005,1.5
0.0050539386294987,0.144071,0.01352226,3.703142e-05,-0.01355929,100,10,0.0005,1.5
0.0051539386294987,0.1467726,0.01349379,3.848564e-05,-0.01353227,100,10,0.0005,1.5
0.0052539386294987,0.1494685,0.01346535,3.996684e-05,-0.01350531,100,10,0.0005,1.5
0.0053539386294987,0.1521588,0.01343694,4.147498e-05,-0.01347841,100,10,0.0005,1.5
0.0054539386294987,0.1548433,0.01340856,4.300999e-05,-0.01345157,100,10,0.0005,1.5
0.0055539386294987,0.1575222,0.01338021,4.457181e-05,-0.01342478,100,10,0.0005,1.5
0.0056539386294987,0.1601954,0.01335189,4.61604e-05,-0.01339805,100,10,0.0005,1.5
0.0057539386294987,0.162863,0.01332359,4.777569e-05,-0.01337137,100,10,0.0005,1.5
0.0058539386294987,0.1655249,0.01329533,4.941763e-05,-0.01334475,100,10,0.0005,1.5
0.0059539386294987,0.1681811,0.0132671,5.108616e-05,-0.01331819,100,10,0.0005,1.5
0.0060539386294987,0.1708317,0.0132389,5.278122e-05,-0.01329168,100,10,0.0005,1.5
0.0061539386294987,0.1734767,0.01321073,5.450277e-05,-0.01326523,100,10,0.0005,1.5
0.0062539386294987,0.176116,0.01318259,5.625073e-05,-0.01323884,100,10,0.0005,1.5
0.0063539386294987,0.1787497,0.01315448,5.802506e-05,-0.0132125,100,10,0.0005,1.5
0.0064539386294987,0.1813778,0.0131264,5.982569e-05,-0.01318622,100,10,0.0005,1.5
0.0065539386294987,0.1840003,0.01309835,6.165258e-05,-0.01316,100,10,0.0005,1.5
0.0066539386294987,0.1866171,0.01307032,6.350567e-05,-0.01313383,100,10,0.0005,1.5
0.0067539386294987,0.1892284,0.01304233,6.53849e-05,-0.01310772,100,10,0.0005,1.5
0.0068539386294987,0.1918341,0.01301437,6.729021e-05,-0.01308166,100,10,0.0005,1.5
0.0069539386294987,0.1944341,0.01298644,6.922155e-05,-0.01305566,100,10,0.0005,1.5
0.0070539386294987,0.1970286,0.01295853,7.117886e-05,-0.01302971,100,10,0.0005,1.5
0.0071539386294987,0.1996176,0.01293066,7.316209e-05,-0.01300382,100,10,0.0005,1.5
0.0072539386294987,0.2022009,0.01290282,7.517119e-05,-0.01297799,100,10,0.0005,1.5
0.0073539386294987,0.2047787,0.01287501,7.720608e-05,-0.01295221,100,10,0.0005,1.5
0.0074539386294987,0.2073509,0.01284722,7.926673e-05,-0.01292649,100,10,0.0005,1.5
0.0075539386294987,0.2099176,0.01281947,8.135307e-05,-0.01290082,100,10,0.0005,1.5
0.0076539386294987,0.2124787,0.01279175,8.346505e-05,-0.01287521,100,10,0.0005,1.5
0.0077539386294987,0.2150343,0.01276405,8.560262e-05,-0.01284966,100,10,0.0005,1.5
0.0078539386294987,0.2175843,0.01273639,8.776571e-05,-0.01282416,100,10,0.0005,1.5
0.0079539386294987,0.2201288,0.01270876,8.995427e-05,-0.01279871,100,10,0.0005,1.5
0.0080539386294987,0.2226678,0.01268115,9.216825e-05,-0.01277332,100,10,0.0005,1.5
0.0081539386294987,0.2252013,0.01265358,9.440759e-05,-0.01274799,100,10,0.0005,1.5
0.0082539386294987,0.2277293,0.01262604,9.667225e-05,-0.01272271,100,10,0.0005,1.5
0.0083539386294987,0.2302517,0.01259852,9.896215e-05,-0.01269748,100,10,0.0005,1.5
0.0084539386294987,0.2327687,0.01257104,0.0001012773,-0.01267231,100,10,0.0005,1.5
0.0085539386294987,0.2352801,0.01254358,0.0001036175,-0.0126472,100,10,0.0005,1.5
0.0086539386294987,0.2377861,0.01251616,0.0001059828,-0.01262214,100,10,0.0005,1.5
0.0087539386294987,0.2402866,0.01248876,0.0001083732,-0.01259713,100,10,0.0005,1.5
0.0088539386294987,0.2427816,0.0124614,0.0001107885,-0.01257218,100,10,0.0005,1.5
0.0089539386294987,0.2452712,0.01243406,0.0001132288,-0.01254729,100,10,0.0005,1.5
0.0090539386294987,0.2477552,0.01240675,0.0001156939,-0.01252245,100,10,0.0005,1.5
0.0091539386294987,0.2502339,0.01237948,0.0001181839,-0.01249766,100,10,0.0005,1.5
0.0092539386294987,0.252707,0.01235223,0.0001206986,-0.01247293,100,10,0.0005,1.5
0.0093539386294987,0.2551748,0.01232501,0.000123238,-0.01244825,100,10,0.0005,1.5
0.0094539386294987,0.2576371,0.01229783,0.000125802,-0.01242363,100,10,0.0005,1.5
0.0095539386294987,0.2600939,0.01227067,0.0001283907,-0.01239906,100,10,0.0005,1.5
0.0096539386294987,0.2625453,0.01224354,0.0001310039,-0.01237455,100,10,0.0005,1.5
0.0097539386294987,0.2649913,0.01221645,0.0001336416,-0.01235009,100,10,0.0005,1.5
0.0098539386294987,0.2674319,0.01218938,0.0001363037,-0.01232568,100,10,0.0005,1.5
0.0099539386294987,0.2698671,0.01216234,0.0001389902,-0.01230133,100,10,0.0005,1.5
0.0100539386294987,0.2722968,0.01213533,0.000141701,-0.01227703,100,10,0.0005,1.5
0.0101539386294987,0.2747212,0.01210835,0.0001444361,-0.01225279,100,10,0.0005,1.5
0.0102539386294987,0.2771402,0.0120814,0.0001471954,-0.0122286,100,10,0.0005,1.5
0.0103539386294987,0.2795538,0.01205448,0.0001499789,-0.01220446,100,10,0.0005,1.5
0.0104539386294987,0.281962,0.01202759,0.0001527864,-0.01218038,100,10,0.0005,1.5
0.0105539386294987,0.2843648,0.01200073,0.0001556181,-0.01215635,100,10,0.0005,1.5
0.0106539386294987,0.2867623,0.0119739,0.0001584737,-0.01213238,100,10,0.0005,1.5
0.0107539386294987,0.2891544,0.0119471,0.0001613533,-0.01210846,100,10,0.0005,1.5
0.0108539386294987,0.2915411,0.01192033,0.0001642568,-0.01208459,100,10,0.0005,1.5
0.0109539386294987,0.2939225,0.01189359,0.0001671841,-0.01206077,100,10,0.0005,1.5
0.0110539386294987,0.2962986,0.01186688,0.0001701352,-0.01203701,100,10,0.0005,1.5
0.0111539386294987,0.2986693,0.0118402,0.00017311,-0.01201331,100,10,0.0005,1.5
0.0112539386294987,0.3010347,0.01181354,0.0001761085,-0.01198965,100,10,0.0005,1.5
0.0113539386294987,0.3033947,0.01178692,0.0001791307,-0.01196605,100,10,0.0005,1.5
0.0114539386294987,0.3057494,0.01176033,0.0001821764,-0.01194251,100,10,0.0005,1.5
0.0115539386294987,0.3080988,0.01173377,0.0001852456,-0.01191901,100,10,0.0005,1.5
0.0116539386294987,0.3104429,0.01170723,0.0001883383,-0.01189557,100,10,0.0005,1.5
0.0117539386294987,0.3127817,0.01168073,0.0001914545,-0.01187218,100,10,0.0005,1.5
0.0118539386294987,0.3151152,0.01165425,0.0001945939,-0.01184885,100,10,0.0005,1.5
0.0119539386294987,0.3174434,0.01162781,0.0001977567,-0.01182557,100,10,0.0005,1.5
0.0120539386294987,0.3197663,0.01160139,0.0002009428,-0.01180234,100,10,0.0005,1.5
0.0121539386294987,0.322084,0.01157501,0.000204152,-0.01177916,100,10,0.0005,1.5
0.0122539386294987,0.3243963,0.01154865,0.0002073844,-0.01175604,100,10,0.0005,1.5
0.0123539386294987,0.3267035,0.01152233,0.0002106399,-0.01173297,100,10,0.0005,1.5
0.0124539386294987,0.3290053,0.01149603,0.0002139185,-0.01170995,100,10,0.0005,1.5
0.0125539386294987,0.3313019,0.01146976,0.00021722,-0.01168698,100,10,0.0005,1.5
0.0126539386294987,0.3335932,0.01144352,0.0002205445,-0.01166407,100,10,0.0005,1.5
0.0127539386294987,0.3358793,0.01141732,0.0002238918,-0.01164121,100,10,0.0005,1.5
0.0128539386294987,0.3381601,0.01139114,0.000227262,-0.0116184,100,10,0.0005,1.5
0.0129539386294987,0.3404357,0.01136499,0.000230655,-0.01159564,100,10,0.0005,1.5
0.0130539386294987,0.3427061,0.01133887,0.0002340707,-0.01157294,100,10,0.0005,1.5
0.0131539386294987,0.3449713,0.01131278,0.0002375091,-0.01155029,100,10,0.0005,1.5
0.0132539386294987,0.3472312,0.01128672,0.0002409701,-0.01152769,100,10,0.0005,1.5
